#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  -.170247877661527E+00  -.217594141446550E-17
     chi_1_1=  0.100000000000000E-01  -.170247983652020E+00  -.107171946850207E-04
     chi_1_1=  0.200000000000000E-01  -.170248301626352E+00  -.214351105669756E-04
     chi_1_1=  0.300000000000000E-01  -.170248831593071E+00  -.321544692645802E-04
     chi_1_1=  0.400000000000000E-01  -.170249573566420E+00  -.428759932405537E-04
     chi_1_1=  0.500000000000000E-01  -.170250527566317E+00  -.536004062247560E-04
     chi_1_1=  0.600000000000000E-01  -.170251693618337E+00  -.643284336386803E-04
     chi_1_1=  0.700000000000000E-01  -.170253071753686E+00  -.750608030217592E-04
     chi_1_1=  0.800000000000000E-01  -.170254662009175E+00  -.857982444599410E-04
     chi_1_1=  0.900000000000000E-01  -.170256464427171E+00  -.965414910169942E-04
     chi_1_1=  0.100000000000000E+00  -.170258479055565E+00  -.107291279169001E-03
     chi_1_1=  0.110000000000000E+00  -.170260705947717E+00  -.118048349242503E-03
     chi_1_1=  0.120000000000000E+00  -.170263145162399E+00  -.128813445856766E-03
     chi_1_1=  0.130000000000000E+00  -.170265796763733E+00  -.139587318370639E-03
     chi_1_1=  0.140000000000000E+00  -.170268660821121E+00  -.150370721334469E-03
     chi_1_1=  0.150000000000000E+00  -.170271737409165E+00  -.161164414947564E-03
     chi_1_1=  0.160000000000000E+00  -.170275026607586E+00  -.171969165521678E-03
     chi_1_1=  0.170000000000000E+00  -.170278528501125E+00  -.182785745951010E-03
     chi_1_1=  0.180000000000000E+00  -.170282243179447E+00  -.193614936189201E-03
     chi_1_1=  0.190000000000000E+00  -.170286170737023E+00  -.204457523733843E-03
     chi_1_1=  0.200000000000000E+00  -.170290311273018E+00  -.215314304118976E-03
     chi_1_1=  0.210000000000000E+00  -.170294664891155E+00  -.226186081416111E-03
     chi_1_1=  0.220000000000000E+00  -.170299231699578E+00  -.237073668744265E-03
     chi_1_1=  0.230000000000000E+00  -.170304011810699E+00  -.247977888789548E-03
     chi_1_1=  0.240000000000000E+00  -.170309005341038E+00  -.258899574334803E-03
     chi_1_1=  0.250000000000000E+00  -.170314212411043E+00  -.269839568799858E-03
     chi_1_1=  0.260000000000000E+00  -.170319633144908E+00  -.280798726792883E-03
     chi_1_1=  0.270000000000000E+00  -.170325267670367E+00  -.291777914673437E-03
     chi_1_1=  0.280000000000000E+00  -.170331116118479E+00  -.302778011127698E-03
     chi_1_1=  0.290000000000000E+00  -.170337178623398E+00  -.313799907756468E-03
     chi_1_1=  0.300000000000000E+00  -.170343455322124E+00  -.324844509676462E-03
     chi_1_1=  0.310000000000000E+00  -.170349946354237E+00  -.335912736135459E-03
     chi_1_1=  0.320000000000000E+00  -.170356651861613E+00  -.347005521141853E-03
     chi_1_1=  0.330000000000000E+00  -.170363571988123E+00  -.358123814109159E-03
     chi_1_1=  0.340000000000000E+00  -.170370706879306E+00  -.369268580516022E-03
     chi_1_1=  0.350000000000000E+00  -.170378056682025E+00  -.380440802582280E-03
     chi_1_1=  0.360000000000000E+00  -.170385621544098E+00  -.391641479961619E-03
     chi_1_1=  0.370000000000000E+00  -.170393401613897E+00  -.402871630451352E-03
     chi_1_1=  0.380000000000000E+00  -.170401397039935E+00  -.414132290719864E-03
     chi_1_1=  0.390000000000000E+00  -.170409607970412E+00  -.425424517052215E-03
     chi_1_1=  0.400000000000000E+00  -.170418034552735E+00  -.436749386114408E-03
     chi_1_1=  0.410000000000000E+00  -.170426676933011E+00  -.448107995736814E-03
     chi_1_1=  0.420000000000000E+00  -.170435535255495E+00  -.459501465717185E-03
     chi_1_1=  0.430000000000000E+00  -.170444609662012E+00  -.470930938643731E-03
     chi_1_1=  0.440000000000000E+00  -.170453900291340E+00  -.482397580738584E-03
     chi_1_1=  0.450000000000000E+00  -.170463407278544E+00  -.493902582722102E-03
     chi_1_1=  0.460000000000000E+00  -.170473130754274E+00  -.505447160698250E-03
     chi_1_1=  0.470000000000000E+00  -.170483070844016E+00  -.517032557061377E-03
     chi_1_1=  0.480000000000000E+00  -.170493227667292E+00  -.528660041424568E-03
     chi_1_1=  0.490000000000000E+00  -.170503601336808E+00  -.540330911569722E-03
     chi_1_1=  0.500000000000000E+00  -.170514191957546E+00  -.552046494419417E-03
     chi_1_1=  0.510000000000000E+00  -.170524999625802E+00  -.563808147030532E-03
     chi_1_1=  0.520000000000000E+00  -.170536024428152E+00  -.575617257609515E-03
     chi_1_1=  0.530000000000000E+00  -.170547266440365E+00  -.587475246549039E-03
     chi_1_1=  0.540000000000000E+00  -.170558725726225E+00  -.599383567485690E-03
     chi_1_1=  0.550000000000000E+00  -.170570402336302E+00  -.611343708378184E-03
     chi_1_1=  0.560000000000000E+00  -.170582296306627E+00  -.623357192605417E-03
     chi_1_1=  0.570000000000000E+00  -.170594407657281E+00  -.635425580083522E-03
     chi_1_1=  0.580000000000000E+00  -.170606736390908E+00  -.647550468400841E-03
     chi_1_1=  0.590000000000000E+00  -.170619282491116E+00  -.659733493969541E-03
     chi_1_1=  0.600000000000000E+00  -.170632045920789E+00  -.671976333192336E-03
     chi_1_1=  0.610000000000000E+00  -.170645026620286E+00  -.684280703642450E-03
     chi_1_1=  0.620000000000000E+00  -.170658224505522E+00  -.696648365254715E-03
     chi_1_1=  0.630000000000000E+00  -.170671639465935E+00  -.709081121525258E-03
     chi_1_1=  0.640000000000000E+00  -.170685271362325E+00  -.721580820716903E-03
