#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  -.170270158373710E+00  0.112158590628067E-16
     chi_1_1=  0.100000000000000E-01  -.170270264157048E+00  -.111085858081296E-04
     chi_1_1=  0.200000000000000E-01  -.170270581504720E+00  -.222181936115579E-04
     chi_1_1=  0.300000000000000E-01  -.170271110409682E+00  -.333298459941606E-04
     chi_1_1=  0.400000000000000E-01  -.170271850860125E+00  -.444445667159436E-04
     chi_1_1=  0.500000000000000E-01  -.170272802839373E+00  -.555633812983827E-04
     chi_1_1=  0.600000000000000E-01  -.170273966325732E+00  -.666873176064830E-04
     chi_1_1=  0.700000000000000E-01  -.170275341292309E+00  -.778174064263923E-04
     chi_1_1=  0.800000000000000E-01  -.170276927706776E+00  -.889546820373529E-04
     chi_1_1=  0.900000000000000E-01  -.170278725531102E+00  -.100100182776716E-03
     chi_1_1=  0.100000000000000E+00  -.170280734721234E+00  -.111254951596654E-03
     chi_1_1=  0.110000000000000E+00  -.170282955226735E+00  -.122420036611130E-03
     chi_1_1=  0.120000000000000E+00  -.170285386990384E+00  -.133596491631543E-03
     chi_1_1=  0.130000000000000E+00  -.170288029947725E+00  -.144785376689399E-03
     chi_1_1=  0.140000000000000E+00  -.170290884026570E+00  -.155987758544162E-03
     chi_1_1=  0.150000000000000E+00  -.170293949146459E+00  -.167204711174357E-03
     chi_1_1=  0.160000000000000E+00  -.170297225218073E+00  -.178437316249784E-03
     chi_1_1=  0.170000000000000E+00  -.170300712142593E+00  -.189686663582566E-03
     chi_1_1=  0.180000000000000E+00  -.170304409811023E+00  -.200953851554574E-03
     chi_1_1=  0.190000000000000E+00  -.170308318103452E+00  -.212239987518542E-03
     chi_1_1=  0.200000000000000E+00  -.170312436888273E+00  -.223546188170042E-03
     chi_1_1=  0.210000000000000E+00  -.170316766021352E+00  -.234873579887240E-03
     chi_1_1=  0.220000000000000E+00  -.170321305345146E+00  -.246223299035148E-03
     chi_1_1=  0.230000000000000E+00  -.170326054687772E+00  -.257596492230896E-03
     chi_1_1=  0.240000000000000E+00  -.170331013862021E+00  -.268994316566287E-03
     chi_1_1=  0.250000000000000E+00  -.170336182664333E+00  -.280417939783734E-03
     chi_1_1=  0.260000000000000E+00  -.170341560873712E+00  -.291868540401415E-03
     chi_1_1=  0.270000000000000E+00  -.170347148250598E+00  -.303347307783341E-03
     chi_1_1=  0.280000000000000E+00  -.170352944535691E+00  -.314855442149786E-03
     chi_1_1=  0.290000000000000E+00  -.170358949448725E+00  -.326394154523409E-03
     chi_1_1=  0.300000000000000E+00  -.170365162687207E+00  -.337964666606231E-03
     chi_1_1=  0.310000000000000E+00  -.170371583925106E+00  -.349568210582518E-03
     chi_1_1=  0.320000000000000E+00  -.170378212811501E+00  -.361206028842563E-03
     chi_1_1=  0.330000000000000E+00  -.170385048969205E+00  -.372879373622282E-03
     chi_1_1=  0.340000000000000E+00  -.170392091993341E+00  -.384589506553610E-03
     chi_1_1=  0.350000000000000E+00  -.170399341449902E+00  -.396337698120698E-03
     chi_1_1=  0.360000000000000E+00  -.170406796874281E+00  -.408125227017069E-03
     chi_1_1=  0.370000000000000E+00  -.170414457769784E+00  -.419953379399056E-03
     chi_1_1=  0.380000000000000E+00  -.170422323606131E+00  -.431823448031128E-03
     chi_1_1=  0.390000000000000E+00  -.170430393817950E+00  -.443736731319018E-03
     chi_1_1=  0.400000000000000E+00  -.170438667803273E+00  -.455694532226960E-03
     chi_1_1=  0.410000000000000E+00  -.170447144922037E+00  -.467698157075804E-03
     chi_1_1=  0.420000000000000E+00  -.170455824494602E+00  -.479748914219322E-03
     chi_1_1=  0.430000000000000E+00  -.170464705800292E+00  -.491848112596544E-03
     chi_1_1=  0.440000000000000E+00  -.170473788075968E+00  -.503997060158617E-03
     chi_1_1=  0.450000000000000E+00  -.170483070514640E+00  -.516197062169305E-03
     chi_1_1=  0.460000000000000E+00  -.170492552264124E+00  -.528449419378841E-03
     chi_1_1=  0.470000000000000E+00  -.170502232425764E+00  -.540755426071544E-03
     chi_1_1=  0.480000000000000E+00  -.170512110053206E+00  -.553116367988078E-03
     chi_1_1=  0.490000000000000E+00  -.170522184151259E+00  -.565533520123789E-03
     chi_1_1=  0.500000000000000E+00  -.170532453674819E+00  -.578008144404896E-03
     chi_1_1=  0.510000000000000E+00  -.170542917527898E+00  -.590541487244552E-03
     chi_1_1=  0.520000000000000E+00  -.170553574562730E+00  -.603134776980875E-03
     chi_1_1=  0.530000000000000E+00  -.170564423578994E+00  -.615789221198919E-03
     chi_1_1=  0.540000000000000E+00  -.170575463323122E+00  -.628506003938216E-03
     chi_1_1=  0.550000000000000E+00  -.170586692487744E+00  -.641286282787104E-03
     chi_1_1=  0.560000000000000E+00  -.170598109711225E+00  -.654131185864206E-03
     chi_1_1=  0.570000000000000E+00  -.170609713577352E+00  -.667041808686734E-03
     chi_1_1=  0.580000000000000E+00  -.170621502615125E+00  -.680019210924299E-03
     chi_1_1=  0.590000000000000E+00  -.170633475298714E+00  -.693064413035974E-03
     chi_1_1=  0.600000000000000E+00  -.170645630047544E+00  -.706178392787482E-03
     chi_1_1=  0.610000000000000E+00  -.170657965226546E+00  -.719362081644945E-03
     chi_1_1=  0.620000000000000E+00  -.170670479146593E+00  -.732616361041077E-03
     chi_1_1=  0.630000000000000E+00  -.170683170065109E+00  -.745942058510353E-03
     chi_1_1=  0.640000000000000E+00  -.170696036186909E+00  -.759339943690347E-03
