#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233330768249547E+00  -.114195570453911E-16  0.428576140001605E+01  -.209751577803385E-15
     0.100000000000000E-01  0.233330290843486E+00  0.497321660258146E-04  0.428576997421160E+01  0.913471727718856E-03
     0.200000000000000E-01  0.233328858629127E+00  0.994687377422481E-04  0.428579569686007E+01  0.182704655863179E-02
     0.300000000000000E-01  0.233326471618033E+00  0.149214123762967E-03  0.428583856814521E+01  0.274082765706165E-02
     0.400000000000000E-01  0.233323129829715E+00  0.198972738547389E-03  0.428589858836850E+01  0.365491830958401E-02
     0.500000000000000E-01  0.233318833292031E+00  0.248749005322521E-03  0.428597575794145E+01  0.456942198613672E-02
     0.600000000000000E-01  0.233313582041710E+00  0.298547359003445E-03  0.428607007737524E+01  0.548444240110854E-02
     0.700000000000000E-01  0.233307376125044E+00  0.348372249111873E-03  0.428618154726719E+01  0.640008357439581E-02
     0.800000000000000E-01  0.233300215598743E+00  0.398228142691953E-03  0.428631016828402E+01  0.731644989241310E-02
     0.900000000000000E-01  0.233292100530939E+00  0.448119527222391E-03  0.428645594114213E+01  0.823364616904152E-02
     0.100000000000000E+00  0.233283031002362E+00  0.498050913523693E-03  0.428661886658455E+01  0.915177770649217E-02
     0.110000000000000E+00  0.233273007107684E+00  0.548026838659071E-03  0.428679894535458E+01  0.100709503560574E-01
     0.120000000000000E+00  0.233262028957045E+00  0.598051868827181E-03  0.428699617816597E+01  0.109912705787159E-01
     0.130000000000000E+00  0.233250096677727E+00  0.648130602244609E-03  0.428721056566987E+01  0.119128455055530E-01
     0.140000000000000E+00  0.233237210416054E+00  0.698267672015444E-03  0.428744210841778E+01  0.128357829979422E-01
     0.150000000000000E+00  0.233223370339446E+00  0.748467748984930E-03  0.428769080682116E+01  0.137601917074347E-01
     0.160000000000000E+00  0.233208576638691E+00  0.798735544573596E-03  0.428795666110681E+01  0.146861811352820E-01
     0.170000000000000E+00  0.233192829530412E+00  0.849075813587625E-03  0.428823967126856E+01  0.156138616915158E-01
     0.180000000000000E+00  0.233176129259746E+00  0.899493357000674E-03  0.428853983701462E+01  0.165433447534860E-01
     0.190000000000000E+00  0.233158476103242E+00  0.949993024701459E-03  0.428885715771068E+01  0.174747427237513E-01
     0.200000000000000E+00  0.233139870371995E+00  0.100057971820072E-02  0.428919163231843E+01  0.184081690871935E-01
     0.210000000000000E+00  0.233120312415000E+00  0.105125839329023E-02  0.428954325932961E+01  0.193437384672173E-01
     0.220000000000000E+00  0.233099802622776E+00  0.110203406264551E-02  0.428991203669500E+01  0.202815666808675E-01
     0.230000000000000E+00  0.233078341431233E+00  0.115291179836288E-02  0.429029796174821E+01  0.212217707926804E-01
     0.240000000000000E+00  0.233055929325807E+00  0.120389673442006E-02  0.429070103112464E+01  0.221644691670660E-01
     0.250000000000000E+00  0.233032566845883E+00  0.125499406904869E-02  0.429112124067444E+01  0.231097815189793E-01
     0.260000000000000E+00  0.233008254589500E+00  0.130620906700512E-02  0.429155858537012E+01  0.240578289626257E-01
     0.270000000000000E+00  0.232982993218356E+00  0.135754706172474E-02  0.429201305920804E+01  0.250087340579030E-01
     0.280000000000000E+00  0.232956783463148E+00  0.140901345734320E-02  0.429248465510350E+01  0.259626208542530E-01
     0.290000000000000E+00  0.232929626129203E+00  0.146061373056616E-02  0.429297336477990E+01  0.269196149315684E-01
     0.300000000000000E+00  0.232901522102479E+00  0.151235343236706E-02  0.429347917865084E+01  0.278798434377428E-01
     0.310000000000000E+00  0.232872472355898E+00  0.156423818949053E-02  0.429400208569538E+01  0.288434351224279E-01
     0.320000000000000E+00  0.232842477956040E+00  0.161627370573650E-02  0.429454207332634E+01  0.298105203665069E-01
     0.330000000000000E+00  0.232811540070224E+00  0.166846576299778E-02  0.429509912725104E+01  0.307812312067452E-01
     0.340000000000000E+00  0.232779659973948E+00  0.172082022202129E-02  0.429567323132466E+01  0.317557013550338E-01
     0.350000000000000E+00  0.232746839058755E+00  0.177334302286001E-02  0.429626436739555E+01  0.327340662115703E-01
     0.360000000000000E+00  0.232713078840460E+00  0.182604018498017E-02  0.429687251514309E+01  0.337164628712907E-01
     0.370000000000000E+00  0.232678380967820E+00  0.187891780698474E-02  0.429749765190708E+01  0.347030301227689E-01
     0.380000000000000E+00  0.232642747231595E+00  0.193198206591095E-02  0.429813975250905E+01  0.356939084387612E-01
     0.390000000000000E+00  0.232606179574057E+00  0.198523921605641E-02  0.429879878906516E+01  0.366892399574917E-01
     0.400000000000000E+00  0.232568680098873E+00  0.203869558728426E-02  0.429947473079127E+01  0.376891684537140E-01
     0.410000000000000E+00  0.232530251081456E+00  0.209235758275457E-02  0.430016754379912E+01  0.386938392984890E-01
     0.420000000000000E+00  0.232490894979679E+00  0.214623167602483E-02  0.430087719088503E+01  0.397033994065743E-01
     0.430000000000000E+00  0.232450614445041E+00  0.220032440745886E-02  0.430160363130989E+01  0.407179971702016E-01
     0.440000000000000E+00  0.232409412334187E+00  0.225464237987920E-02  0.430234682057205E+01  0.417377823779875E-01
     0.450000000000000E+00  0.232367291720810E+00  0.230919225339426E-02  0.430310671017264E+01  0.427629061176067E-01
     0.460000000000000E+00  0.232324255907898E+00  0.236398073932759E-02  0.430388324737408E+01  0.437935206607978E-01
     0.470000000000000E+00  0.232280308440304E+00  0.241901459317291E-02  0.430467637495223E+01  0.448297793291945E-01
     0.480000000000000E+00  0.232235453117572E+00  0.247430060649504E-02  0.430548603094344E+01  0.458718363394156E-01
     0.490000000000000E+00  0.232189694006987E+00  0.252984559769398E-02  0.430631214838709E+01  0.469198466257738E-01
     0.500000000000000E+00  0.232143035456818E+00  0.258565640154633E-02  0.430715465506451E+01  0.479739656389098E-01
     0.510000000000000E+00  0.232095482109624E+00  0.264173985743672E-02  0.430801347323636E+01  0.490343491186421E-01
     0.520000000000000E+00  0.232047038915590E+00  0.269810279619041E-02  0.430888851937966E+01  0.501011528392744E-01
     0.530000000000000E+00  0.231997711145782E+00  0.275475202541798E-02  0.430977970392621E+01  0.511745323256045E-01
     0.540000000000000E+00  0.231947504405221E+00  0.281169431328401E-02  0.431068693100466E+01  0.522546425379029E-01
     0.550000000000000E+00  0.231896424645620E+00  0.286893637061427E-02  0.431161009818925E+01  0.533416375241925E-01
     0.560000000000000E+00  0.231844478177706E+00  0.292648483125933E-02  0.431254909625662E+01  0.544356700381820E-01
     0.570000000000000E+00  0.231791671682887E+00  0.298434623063917E-02  0.431350380895560E+01  0.555368911214196E-01
     0.580000000000000E+00  0.231738012224164E+00  0.304252698240132E-02  0.431447411279193E+01  0.566454496483020E-01
     0.590000000000000E+00  0.231683507256046E+00  0.310103335313569E-02  0.431545987683251E+01  0.577614918328513E-01
     0.600000000000000E+00  0.231628164633266E+00  0.315987143510322E-02  0.431646096253344E+01  0.588851606964236E-01
     0.610000000000000E+00  0.231571992618062E+00  0.321904711695242E-02  0.431747722359633E+01  0.600165954958472E-01
     0.620000000000000E+00  0.231514999885777E+00  0.327856605241815E-02  0.431850850585762E+01  0.611559311118902E-01
     0.630000000000000E+00  0.231457195528488E+00  0.333843362702125E-02  0.431955464721698E+01  0.623032973984607E-01
     0.640000000000000E+00  0.231398589056387E+00  0.339865492281663E-02  0.432061547760995E+01  0.634588184934805E-01
     0.650000000000000E+00  0.231339190396599E+00  0.345923468126952E-02  0.432169081903102E+01  0.646226120930348E-01
     0.660000000000000E+00  0.231279009889128E+00  0.352017726437731E-02  0.432278048561351E+01  0.657947886911371E-01
     0.670000000000000E+00  0.231218058279567E+00  0.358148661419637E-02  0.432388428377298E+01  0.669754507882896E-01
     0.680000000000000E+00  0.231156346708297E+00  0.364316621097929E-02  0.432500201242008E+01  0.681646920728945E-01
     0.690000000000001E+00  0.231093886695769E+00  0.370521903017900E-02  0.432613346325042E+01  0.693625965806351E-01
     0.700000000000001E+00  0.231030690123594E+00  0.376764749863076E-02  0.432727842111693E+01  0.705692378379605E-01
     0.710000000000001E+00  0.230966769211077E+00  0.383045345028091E-02  0.432843666449201E+01  0.717846779970054E-01
     0.720000000000001E+00  0.230902136486964E+00  0.389363808189173E-02  0.432960796602384E+01  0.730089669704027E-01
     0.730000000000001E+00  0.230836804756052E+00  0.395720190921398E-02  0.433079209319373E+01  0.742421415757608E-01
     0.740000000000001E+00  0.230770787060527E+00  0.402114472418026E-02  0.433198880907697E+01  0.754842247006723E-01
     0.750000000000001E+00  0.230704096635802E+00  0.408546555373304E-02  0.433319787321197E+01  0.767352245004285E-01
     0.760000000000001E+00  0.230636746860802E+00  0.415016262095827E-02  0.433441904257818E+01  0.779951336416241E-01
     0.770000000000001E+00  0.230568751202609E+00  0.421523330924645E-02  0.433565207268471E+01  0.792639286059384E-01
     0.780000000000001E+00  0.230500123155636E+00  0.428067413024660E-02  0.433689671876618E+01  0.805415690690916E-01
     0.790000000000001E+00  0.230430876175373E+00  0.434648069641082E-02  0.433815273708462E+01  0.818279973707585E-01
     0.800000000000001E+00  0.230361023607126E+00  0.441264769894647E-02  0.433941988632946E+01  0.831231380914123E-01
     0.810000000000001E+00  0.230290578610047E+00  0.447916889199549E-02  0.434069792910899E+01  0.844268977522384E-01
     0.820000000000001E+00  0.230219554077063E+00  0.454603708384509E-02  0.434198663352176E+01  0.857391646538518E-01
     0.830000000000001E+00  0.230147962551355E+00  0.461324413593660E-02  0.434328577479460E+01  0.870598088688144E-01
