# \hbar \omega(eV)       Re(chi)         Im(chi) 
      0.00000000     -0.8580140E-02    0.1609857E-05
      1.00000000     -0.8629723E-02   -0.6488989E-04
      2.00000000     -0.8761351E-02   -0.1448487E-03
      3.00000000     -0.9022846E-02   -0.2465992E-03
      4.00000000     -0.9430613E-02   -0.5047337E-03
      5.00000000     -0.9831477E-02   -0.1042470E-02
      6.00000000     -0.9866225E-02   -0.1716683E-02
      7.00000000     -0.9845866E-02   -0.1959670E-02
      8.00000000     -0.1022459E-01   -0.2196544E-02
      9.00000000     -0.1068917E-01   -0.2709340E-02
     10.00000000     -0.1112432E-01   -0.3349722E-02
     11.00000000     -0.1175432E-01   -0.3979592E-02
     12.00000000     -0.1268040E-01   -0.4970993E-02
     13.00000000     -0.1354894E-01   -0.6908417E-02
     14.00000000     -0.1389133E-01   -0.9868046E-02
     15.00000000     -0.1248964E-01   -0.1229416E-01
     16.00000000     -0.1115227E-01   -0.1364792E-01
     17.00000000     -0.1032215E-01   -0.1592237E-01
     18.00000000     -0.8368061E-02   -0.1871177E-01
     19.00000000     -0.5223140E-02   -0.2174547E-01
     20.00000000      0.3041711E-03   -0.2366795E-01
     21.00000000      0.8153525E-02   -0.2250384E-01
     22.00000000      0.1221557E-01   -0.1630292E-01
     23.00000000      0.1296532E-01   -0.1108136E-01
     24.00000000      0.1176771E-01   -0.7156661E-02
     25.00000000      0.1033677E-01   -0.4807134E-02
     26.00000000      0.8845609E-02   -0.3422042E-02
     27.00000000      0.7703299E-02   -0.2404493E-02
     28.00000000      0.6652470E-02   -0.1837106E-02
     29.00000000      0.5819459E-02   -0.1499396E-02
     30.00000000      0.5253662E-02   -0.1246545E-02
