#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.152599999999995E+02  -.675403110764441E-01  0.113819410768707E+01  -.519521863754504E-01  0.875501925762099E+00
     0.152699999999995E+02  -.662336936174501E-01  0.113947647995617E+01  -.508397463203729E-01  0.874640866529306E+00
     0.152799999999995E+02  -.649370561967149E-01  0.114075378269557E+01  -.497397662724518E-01  0.873781933597465E+00
     0.152899999999995E+02  -.636504008765970E-01  0.114202630182967E+01  -.486521404901701E-01  0.872924966926885E+00
     0.152999999999995E+02  -.623737232344110E-01  0.114329432005860E+01  -.475767612978489E-01  0.872069809817053E+00
     0.153099999999995E+02  -.611070125524762E-01  0.114455811670617E+01  -.465135191904922E-01  0.871216308935542E+00
     0.153199999999995E+02  -.598502520115947E-01  0.114581796757680E+01  -.454623029393585E-01  0.870364314343156E+00
     0.153299999999995E+02  -.586034188874438E-01  0.114707414482120E+01  -.444229996980243E-01  0.869513679515400E+00
     0.153399999999995E+02  -.573664847495559E-01  0.114832691681092E+01  -.433954951088302E-01  0.868664261360239E+00
     0.153499999999995E+02  -.561394156625059E-01  0.114957654802185E+01  -.423796734095551E-01  0.867815920232097E+00
     0.153599999999995E+02  -.549221723889317E-01  0.115082329892647E+01  -.413754175401699E-01  0.866968519942125E+00
     0.153699999999995E+02  -.537147105941223E-01  0.115206742589507E+01  -.403826092495912E-01  0.866121927764676E+00
     0.153799999999995E+02  -.525169810516077E-01  0.115330918110570E+01  -.394011292021400E-01  0.865276014440071E+00
     0.153899999999995E+02  -.513289298496704E-01  0.115454881246293E+01  -.384308570837545E-01  0.864430654173600E+00
     0.153999999999995E+02  -.501504985982182E-01  0.115578656352535E+01  -.374716717076516E-01  0.863585724630773E+00
     0.154099999999995E+02  -.489816246357453E-01  0.115702267344164E+01  -.365234511193439E-01  0.862741106928893E+00
     0.154199999999995E+02  -.478222412361355E-01  0.115825737689529E+01  -.355860727009263E-01  0.861896685624907E+00
     0.154299999999995E+02  -.466722778148350E-01  0.115949090405769E+01  -.346594132743853E-01  0.861052348699651E+00
     0.154399999999995E+02  -.455316601341813E-01  0.116072348054972E+01  -.337433492038587E-01  0.860207987538419E+00
     0.154499999999995E+02  -.444003105075237E-01  0.116195532741142E+01  -.328377564966725E-01  0.859363496908020E+00
     0.154599999999994E+02  -.432781480018871E-01  0.116318666107991E+01  -.319425109030539E-01  0.858518774930293E+00
     0.154699999999994E+02  -.421650886387923E-01  0.116441769337528E+01  -.310574880143132E-01  0.857673723052154E+00
     0.154799999999994E+02  -.410610455930340E-01  0.116564863149425E+01  -.301825633594301E-01  0.856828246012241E+00
     0.154899999999994E+02  -.399659293890795E-01  0.116687967801157E+01  -.293176124998682E-01  0.855982251804259E+00
     0.154999999999994E+02  -.388796480948357E-01  0.116811103088896E+01  -.284625111225039E-01  0.855135651637052E+00
     0.155099999999994E+02  -.378021075125217E-01  0.116934288349138E+01  -.276171351305370E-01  0.854288359891468E+00
     0.155199999999994E+02  -.367332113663612E-01  0.117057542461040E+01  -.267813607322495E-01  0.853440294074208E+00
     0.155299999999994E+02  -.356728614869075E-01  0.117180883849475E+01  -.259550645275223E-01  0.852591374768594E+00
     0.155399999999994E+02  -.346209579917014E-01  0.117304330488741E+01  -.251381235919585E-01  0.851741525582494E+00
     0.155499999999994E+02  -.335773994620652E-01  0.117427899906950E+01  -.243304155585194E-01  0.850890673093417E+00
     0.155599999999994E+02  -.325420831157974E-01  0.117551609191044E+01  -.235318186965543E-01  0.850038746790922E+00
     0.155699999999994E+02  -.315149049755736E-01  0.117675474992428E+01  -.227422119881335E-01  0.849185679016434E+00
     0.155799999999994E+02  -.304957600328621E-01  0.117799513533203E+01  -.219614752015911E-01  0.848331404900593E+00
     0.155899999999994E+02  -.294845424071015E-01  0.117923740612969E+01  -.211894889621399E-01  0.847475862298248E+00
     0.155999999999994E+02  -.284811454999980E-01  0.118048171616173E+01  -.204261348195001E-01  0.846618991721242E+00
     0.156099999999994E+02  -.274854621448535E-01  0.118172821519986E+01  -.196712953125138E-01  0.845760736269050E+00
     0.156199999999994E+02  -.264973847505614E-01  0.118297704902685E+01  -.189248540305290E-01  0.844901041557499E+00
     0.156299999999994E+02  -.255168054403143E-01  0.118422835952503E+01  -.181866956716170E-01  0.844039855645609E+00
     0.156399999999994E+02  -.245436161847594E-01  0.118548228476939E+01  -.174567060974732E-01  0.843177128960759E+00
     0.156499999999994E+02  -.235777089295319E-01  0.118673895912491E+01  -.167347723849833E-01  0.842312814222263E+00
     0.156599999999994E+02  -.226189757170090E-01  0.118799851334795E+01  -.160207828743775E-01  0.841446866363560E+00
     0.156699999999994E+02  -.216673088021428E-01  0.118926107469130E+01  -.153146272139026E-01  0.840579242453093E+00
     0.156799999999994E+02  -.207226007623753E-01  0.119052676701288E+01  -.146161964010456E-01  0.839709901614083E+00
     0.156899999999994E+02  -.197847446013946E-01  0.119179571088748E+01  -.139253828201680E-01  0.838838804943315E+00
     0.156999999999994E+02  -.188536338467793E-01  0.119306802372168E+01  -.132420802766117E-01  0.837965915429073E+00
     0.157099999999994E+02  -.179291626413551E-01  0.119434381987128E+01  -.125661840271817E-01  0.837091197868420E+00
     0.157199999999994E+02  -.170112258282626E-01  0.119562321076130E+01  -.118975908070321E-01  0.836214618783923E+00
     0.157299999999994E+02  -.160997190296912E-01  0.119690630500807E+01  -.112361988529491E-01  0.835336146340012E+00
     0.157399999999994E+02  -.151945387191492E-01  0.119819320854327E+01  -.105819079229665E-01  0.834455750259107E+00
     0.157499999999994E+02  -.142955822873334E-01  0.119948402473955E+01  -.993461931238357E-02  0.833573401737658E+00
     0.157599999999994E+02  -.134027481015251E-01  0.120077885453754E+01  -.929423586615809E-02  0.832689073362284E+00
     0.157699999999994E+02  -.125159355584845E-01  0.120207779657392E+01  -.866066198768001E-02  0.831802739026122E+00
     0.157799999999994E+02  -.116350451309195E-01  0.120338094731034E+01  -.803380364400057E-02  0.830914373845546E+00
     0.157899999999994E+02  -.107599784073766E-01  0.120468840116287E+01  -.741356836743654E-02  0.830023954077450E+00
     0.157999999999994E+02  -.989063812578772E-02  0.120600025063174E+01  -.679986525373104E-02  0.829131457037160E+00
     0.158099999999994E+02  -.902692820046713E-02  0.120731658643108E+01  -.619260495665306E-02  0.828236861017203E+00
     0.158199999999994E+02  -.816875374277926E-02  0.120863749761846E+01  -.559169967920761E-02  0.827340145207028E+00
     0.158299999999994E+02  -.731602107539708E-02  0.120996307172387E+01  -.499706316142270E-02  0.826441289613839E+00
     0.158399999999994E+02  -.646863774029138E-02  0.121129339487794E+01  -.440861066482954E-02  0.825540274984687E+00
     0.158499999999994E+02  -.562651250048218E-02  0.121262855193922E+01  -.382625895367637E-02  0.824637082729920E+00
     0.158599999999994E+02  -.478955533554526E-02  0.121396862662005E+01  -.324992627289103E-02  0.823731694848202E+00
     0.158699999999994E+02  -.395767743112718E-02  0.121531370161101E+01  -.267953232298257E-02  0.822824093853152E+00
     0.158799999999994E+02  -.313079116240145E-02  0.121666385870355E+01  -.211499823185381E-02  0.821914262701779E+00
     0.158899999999994E+02  -.230881007164663E-02  0.121801917891062E+01  -.155624652366468E-02  0.821002184724824E+00
     0.158999999999994E+02  -.149164884004160E-02  0.121937974258507E+01  -.100320108482681E-02  0.820087843559119E+00
     0.159099999999994E+02  -.679223253757355E-03  0.122074562953553E+01  -.455787127198591E-03  0.819171223082129E+00
     0.159199999999994E+02  0.128549835431313E-03  0.122211691913958E+01  0.860688513542755E-04  0.818252307348715E+00
     0.159299999999994E+02  0.931752555009102E-03  0.122349369045402E+01  0.622439109015629E-03  0.817331080530285E+00
     0.159399999999994E+02  0.173046606183291E-02  0.122487602232198E+01  0.115339470452839E-02  0.816407526856416E+00
     0.159499999999994E+02  0.252477059732814E-02  0.122626399347658E+01  0.167900554403425E-02  0.815481630559076E+00
     0.159599999999994E+02  0.331474554767108E-02  0.122765768264123E+01  0.219934043016701E-02  0.814553375819456E+00
     0.159699999999994E+02  0.410046950877696E-02  0.122905716862588E+01  0.271446711326940E-02  0.813622746717620E+00
     0.159799999999994E+02  0.488202035586416E-02  0.123046253041957E+01  0.322445234457148E-02  0.812689727184976E+00
     0.159899999999994E+02  0.565947531749267E-02  0.123187384727867E+01  0.372936193125507E-02  0.811754300959674E+00
     0.159999999999994E+02  0.643291105381694E-02  0.123329119881085E+01  0.422926079322519E-02  0.810816451544998E+00
     0.160099999999994E+02  0.720240373892855E-02  0.123471466505460E+01  0.472421302150028E-02  0.809876162170834E+00
     0.160199999999994E+02  0.796802914701589E-02  0.123614432655401E+01  0.521428193803660E-02  0.808933415758267E+00
     0.160299999999994E+02  0.872986274220600E-02  0.123758026442879E+01  0.569953015689457E-02  0.807988194887359E+00
     0.160399999999994E+02  0.948797977182037E-02  0.123902256043931E+01  0.618001964656866E-02  0.807040481768193E+00
     0.160499999999994E+02  0.102424553628483E-01  0.124047129704663E+01  0.665581179335036E-02  0.806090258215154E+00
     0.160599999999994E+02  0.109933646214190E-01  0.124192655746710E+01  0.712696746558262E-02  0.805137505624602E+00
     0.160699999999994E+02  0.117407827350163E-01  0.124338842572187E+01  0.759354707863806E-02  0.804182204955822E+00
     0.160799999999994E+02  0.124847850772796E-01  0.124485698668073E+01  0.805561066052395E-02  0.803224336715463E+00
     0.160899999999994E+02  0.132254473150356E-01  0.124633232610051E+01  0.851321791788470E-02  0.802263880945276E+00
     0.160999999999994E+02  0.139628455174263E-01  0.124781453065778E+01  0.896642830232115E-02  0.801300817213351E+00
     0.161099999999994E+02  0.146970562668353E-01  0.124930368797579E+01  0.941530107684082E-02  0.800335124608771E+00
     0.161199999999994E+02  0.154281567713807E-01  0.125079988664570E+01  0.985989538229528E-02  0.799366781739652E+00
     0.161299999999994E+02  0.161562249787006E-01  0.125230321624171E+01  0.103002703036405E-01  0.798395766734701E+00
     0.161399999999994E+02  0.168813396908450E-01  0.125381376733056E+01  0.107364849359072E-01  0.797422057248091E+00
     0.161499999999994E+02  0.176035806799240E-01  0.125533163147475E+01  0.111685984496721E-01  0.796445630467825E+00
     0.161599999999994E+02  0.183230288043231E-01  0.125685690122997E+01  0.115966701559209E-01  0.795466463127424E+00
     0.161699999999994E+02  0.190397661252473E-01  0.125838967013636E+01  0.120207595701633E-01  0.794484531520988E+00
     0.161799999999994E+02  0.197538760232209E-01  0.125993003270375E+01  0.124409264755830E-01  0.793499811521570E+00
     0.161899999999994E+02  0.204654433144233E-01  0.126147808439086E+01  0.128572309851598E-01  0.792512278602800E+00
     0.161999999999994E+02  0.211745543665320E-01  0.126303392157841E+01  0.132697336025761E-01  0.791521907863769E+00
     0.162099999999994E+02  0.218812972137855E-01  0.126459764153622E+01  0.136784952817474E-01  0.790528674057051E+00
     0.162199999999994E+02  0.225857616710963E-01  0.126616934238425E+01  0.140835774848878E-01  0.789532551619836E+00
     0.162299999999994E+02  0.232880394468371E-01  0.126774912304770E+01  0.144850422389013E-01  0.788533514708129E+00
     0.162399999999994E+02  0.239882242541681E-01  0.126933708320614E+01  0.148829521900355E-01  0.787531537233882E+00
     0.162499999999994E+02  0.246864119205488E-01  0.127093332323680E+01  0.152773706566051E-01  0.786526592905033E+00
     0.162599999999994E+02  0.253827004952685E-01  0.127253794415197E+01  0.156683616797063E-01  0.785518655268369E+00
     0.162699999999994E+02  0.260771903546402E-01  0.127415104753077E+01  0.160559900717308E-01  0.784507697755065E+00
     0.162799999999994E+02  0.267699843047046E-01  0.127577273544512E+01  0.164403214626145E-01  0.783493693728869E+00
     0.162899999999994E+02  0.274611876812030E-01  0.127740311038028E+01  0.168214223437057E-01  0.782476616536808E+00
     0.162999999999994E+02  0.281509084464420E-01  0.127904227514981E+01  0.171993601090506E-01  0.781456439562301E+00
     0.163099999999994E+02  0.288392572830131E-01  0.128069033280529E+01  0.175742030941102E-01  0.780433136280558E+00
     0.163199999999994E+02  0.295263476839461E-01  0.128234738654075E+01  0.179460206116894E-01  0.779406680316196E+00
     0.163299999999994E+02  0.302122960392094E-01  0.128401353959198E+01  0.183148829850594E-01  0.778377045502906E+00
     0.163399999999994E+02  0.308972217182547E-01  0.128568889513096E+01  0.186808615781334E-01  0.777344205945042E+00
     0.163499999999994E+02  0.315812471484082E-01  0.128737355615544E+01  0.190440288226142E-01  0.776308136081044E+00
     0.163599999999994E+02  0.322644978888678E-01  0.128906762537383E+01  0.194044582420161E-01  0.775268810748541E+00
     0.163699999999994E+02  0.329471027001631E-01  0.129077120508572E+01  0.197622244725134E-01  0.774226205250953E+00
     0.163799999999994E+02  0.336291936088351E-01  0.129248439705793E+01  0.201174032805264E-01  0.773180295425556E+00
     0.163899999999994E+02  0.343109059670835E-01  0.129420730239657E+01  0.204700715769318E-01  0.772131057712714E+00
     0.163999999999994E+02  0.349923785073210E-01  0.129594002141510E+01  0.208203074279235E-01  0.771078469226294E+00
     0.164099999999994E+02  0.356737533913268E-01  0.129768265349858E+01  0.211681900623864E-01  0.770022507824996E+00
     0.164199999999994E+02  0.363551762538867E-01  0.129943529696457E+01  0.215137998757721E-01  0.768963152184458E+00
     0.164299999999994E+02  0.370367962407718E-01  0.130119804892046E+01  0.218572184304519E-01  0.767900381870061E+00
     0.164399999999994E+02  0.377187660408002E-01  0.130297100511785E+01  0.221985284524483E-01  0.766834177410172E+00
     0.164499999999994E+02  0.384012419119334E-01  0.130475425980399E+01  0.225378138245825E-01  0.765764520369721E+00
     0.164599999999994E+02  0.390843837012186E-01  0.130654790557058E+01  0.228751595759888E-01  0.764691393423945E+00
     0.164699999999994E+02  0.397683548583861E-01  0.130835203320010E+01  0.232106518679512E-01  0.763614780432129E+00
     0.164799999999994E+02  0.404533224431040E-01  0.131016673151001E+01  0.235443779761288E-01  0.762534666511166E+00
     0.164899999999994E+02  0.411394571256021E-01  0.131199208719500E+01  0.238764262690762E-01  0.761451038108818E+00
     0.164999999999994E+02  0.418269331807031E-01  0.131382818466758E+01  0.242068861831465E-01  0.760363883076436E+00
     0.165099999999994E+02  0.425159284750485E-01  0.131567510589718E+01  0.245358481937341E-01  0.759273190741049E+00
     0.165199999999994E+02  0.432066244475071E-01  0.131753293024819E+01  0.248634037829231E-01  0.758178951976626E+00
     0.165299999999994E+02  0.438992060825940E-01  0.131940173431702E+01  0.251896454035184E-01  0.757081159274326E+00
     0.165399999999994E+02  0.445938618769153E-01  0.132128159176860E+01  0.255146664395505E-01  0.755979806811610E+00
     0.165499999999995E+02  0.452907837985009E-01  0.132317257317250E+01  0.258385611632553E-01  0.754874890520026E+00
     0.165599999999995E+02  0.459901672389997E-01  0.132507474583900E+01  0.261614246885969E-01  0.753766408151525E+00
     0.165699999999995E+02  0.466922109586940E-01  0.132698817365536E+01  0.264833529213936E-01  0.752654359343139E+00
     0.165799999999995E+02  0.473971170242725E-01  0.132891291692260E+01  0.268044425060981E-01  0.751538745679854E+00
     0.165899999999995E+02  0.481050907393593E-01  0.133084903219305E+01  0.271247907693189E-01  0.750419570755556E+00
     0.165999999999995E+02  0.488163405677463E-01  0.133279657210901E+01  0.274444956601397E-01  0.749296840231864E+00
     0.166099999999995E+02  0.495310780494046E-01  0.133475558524278E+01  0.277636556873701E-01  0.748170561894727E+00
     0.166199999999995E+02  0.502495177091300E-01  0.133672611593826E+01  0.280823698537371E-01  0.747040745708633E+00
     0.166299999999995E+02  0.509718769579945E-01  0.133870820415468E+01  0.284007375872017E-01  0.745907403868282E+00
     0.166399999999995E+02  0.516983759875496E-01  0.134070188531243E+01  0.287188586694662E-01  0.744770550847615E+00
     0.166499999999995E+02  0.524292376567979E-01  0.134270719014153E+01  0.290368331617664E-01  0.743630203446007E+00
     0.166599999999995E+02  0.531646873720205E-01  0.134472414453292E+01  0.293547613280982E-01  0.742486380831597E+00
     0.166699999999995E+02  0.539049529595099E-01  0.134675276939293E+01  0.296727435559871E-01  0.741339104581518E+00
     0.166799999999995E+02  0.546502645312857E-01  0.134879308050119E+01  0.299908802749427E-01  0.740188398719004E+00
     0.166899999999995E+02  0.554008543437997E-01  0.135084508837226E+01  0.303092718726874E-01  0.739034289747220E+00
     0.166999999999995E+02  0.561569566498431E-01  0.135290879812136E+01  0.306280186093670E-01  0.737876806679716E+00
     0.167099999999995E+02  0.569188075436365E-01  0.135498420933444E+01  0.309472205298199E-01  0.736715981067396E+00
     0.167199999999995E+02  0.576866447993165E-01  0.135707131594284E+01  0.312669773741088E-01  0.735551847021957E+00
     0.167299999999995E+02  0.584607077028593E-01  0.135917010610293E+01  0.315873884864220E-01  0.734384441235647E+00
     0.167399999999995E+02  0.592412368776505E-01  0.136128056208103E+01  0.319085527225364E-01  0.733213802997308E+00
     0.167499999999995E+02  0.600284741037482E-01  0.136340266014370E+01  0.322305683559532E-01  0.732039974204612E+00
     0.167599999999995E+02  0.608226621311704E-01  0.136553637045401E+01  0.325535329829590E-01  0.730862999372459E+00
     0.167699999999995E+02  0.616240444871328E-01  0.136768165697378E+01  0.328775434266449E-01  0.729682925637411E+00
     0.167799999999995E+02  0.624328652776963E-01  0.136983847737219E+01  0.332026956402055E-01  0.728499802758205E+00
     0.167899999999995E+02  0.632493689837633E-01  0.137200678294116E+01  0.335290846095444E-01  0.727313683112192E+00
     0.167999999999995E+02  0.640738002518085E-01  0.137418651851750E+01  0.338568042554631E-01  0.726124621687785E+00
     0.168099999999995E+02  0.649064036794718E-01  0.137637762241230E+01  0.341859473355534E-01  0.724932676072804E+00
     0.168199999999995E+02  0.657474235962768E-01  0.137858002634781E+01  0.345166053459882E-01  0.723737906438726E+00
     0.168299999999995E+02  0.665971038397130E-01  0.138079365540197E+01  0.348488684233833E-01  0.722540375520826E+00
     0.168399999999995E+02  0.674556875268842E-01  0.138301842796086E+01  0.351828252468845E-01  0.721340148594219E+00
     0.168499999999995E+02  0.683234168221283E-01  0.138525425567947E+01  0.355185629407234E-01  0.720137293445792E+00
     0.168599999999995E+02  0.692005327006630E-01  0.138750104345072E+01  0.358561669773081E-01  0.718931880342038E+00
     0.168699999999995E+02  0.700872747087636E-01  0.138975868938335E+01  0.361957210811303E-01  0.717723981992796E+00
     0.168799999999995E+02  0.709838807206613E-01  0.139202708478845E+01  0.365373071336156E-01  0.716513673510993E+00
     0.168899999999995E+02  0.718905866924573E-01  0.139430611417530E+01  0.368810050790710E-01  0.715301032368322E+00
     0.168999999999995E+02  0.728076264134467E-01  0.139659565525637E+01  0.372268928319432E-01  0.714086138346959E+00
     0.169099999999995E+02  0.737352312551103E-01  0.139889557896176E+01  0.375750461855212E-01  0.712869073487399E+00
     0.169199999999995E+02  0.746736299181978E-01  0.140120574946349E+01  0.379255387222805E-01  0.711649922032372E+00
     0.169299999999995E+02  0.756230481781773E-01  0.140352602420945E+01  0.382784417259994E-01  0.710428770366976E+00
     0.169399999999995E+02  0.765837086294557E-01  0.140585625396736E+01  0.386338240958305E-01  0.709205706955122E+00
     0.169499999999995E+02  0.775558304287743E-01  0.140819628287898E+01  0.389917522624870E-01  0.707980822272267E+00
     0.169599999999995E+02  0.785396290380866E-01  0.141054594852446E+01  0.393522901066702E-01  0.706754208734614E+00
     0.169699999999995E+02  0.795353159673889E-01  0.141290508199719E+01  0.397154988799197E-01  0.705525960624839E+00
     0.169799999999995E+02  0.805430985178901E-01  0.141527350798901E+01  0.400814371280231E-01  0.704296174014442E+00
     0.169899999999995E+02  0.815631795258591E-01  0.141765104488626E+01  0.404501606170838E-01  0.703064946682776E+00
     0.169999999999995E+02  0.825957571077059E-01  0.142003750487616E+01  0.408217222624647E-01  0.701832378033007E+00
     0.170099999999995E+02  0.836410244066312E-01  0.142243269406426E+01  0.411961720606678E-01  0.700598569004907E+00
     0.170199999999995E+02  0.846991693412460E-01  0.142483641260241E+01  0.415735570242818E-01  0.699363621984821E+00
     0.170299999999995E+02  0.857703743567594E-01  0.142724845482771E+01  0.419539211201754E-01  0.698127640712752E+00
     0.170399999999995E+02  0.868548161790096E-01  0.142966860941214E+01  0.423373052109743E-01  0.696890730186808E+00
     0.170499999999995E+02  0.879526655719013E-01  0.143209665952315E+01  0.427237469999776E-01  0.695652996565088E+00
     0.170599999999995E+02  0.890640870986747E-01  0.143453238299489E+01  0.431132809796040E-01  0.694414547065176E+00
     0.170699999999995E+02  0.901892388874983E-01  0.143697555251029E+01  0.435059383834692E-01  0.693175489861353E+00
     0.170799999999995E+02  0.913282724017849E-01  0.143942593579378E+01  0.439017471421580E-01  0.691935933979711E+00
     0.170899999999995E+02  0.924813322157926E-01  0.144188329581463E+01  0.443007318428110E-01  0.690695989191261E+00
     0.170999999999995E+02  0.936485557959428E-01  0.144434739100076E+01  0.447029136925917E-01  0.689455765903270E+00
     0.171099999999995E+02  0.948300732883216E-01  0.144681797546295E+01  0.451083104860872E-01  0.688215375048878E+00
     0.171199999999995E+02  0.960260073128361E-01  0.144929479922928E+01  0.455169365767176E-01  0.686974927975242E+00
     0.171299999999995E+02  0.972364727645391E-01  0.145177760848962E+01  0.459288028522193E-01  0.685734536330310E+00
     0.171399999999995E+02  0.984615766225994E-01  0.145426614585000E+01  0.463439167142603E-01  0.684494311948400E+00
     0.171499999999995E+02  0.997014177672920E-01  0.145676015059672E+01  0.467622820621798E-01  0.683254366734742E+00
     0.171599999999995E+02  0.100956086805609E+00  0.145925935896972E+01  0.471838992809602E-01  0.682014812549175E+00
     0.171699999999995E+02  0.102225665905920E+00  0.146176350444539E+01  0.476087652334329E-01  0.680775761089081E+00
     0.171799999999995E+02  0.103510228642006E+00  0.146427231802805E+01  0.480368732566939E-01  0.679537323771827E+00
     0.171899999999996E+02  0.104809839847169E+00  0.146678552855021E+01  0.484682131628478E-01  0.678299611616783E+00
     0.171999999999996E+02  0.106124555478641E+00  0.146930286298101E+01  0.489027712440041E-01  0.677062735127139E+00
     0.172099999999996E+02  0.107454422492821E+00  0.147182404674270E+01  0.493405302815586E-01  0.675826804171653E+00
     0.172199999999996E+02  0.108799478731779E+00  0.147434880403462E+01  0.497814695597760E-01  0.674591927866506E+00
     0.172299999999996E+02  0.110159752821424E+00  0.147687685816446E+01  0.502255648836531E-01  0.673358214457419E+00
     0.172399999999996E+02  0.111535264081698E+00  0.147940793188618E+01  0.506727886010264E-01  0.672125771202184E+00
     0.172499999999996E+02  0.112926022449256E+00  0.148194174774446E+01  0.511231096289454E-01  0.670894704253793E+00
     0.172599999999996E+02  0.114332028412976E+00  0.148447802842486E+01  0.515764934842616E-01  0.669665118544283E+00
     0.172699999999996E+02  0.115753272962629E+00  0.148701649710955E+01  0.520329023183997E-01  0.668437117669496E+00
     0.172799999999996E+02  0.117189737551100E+00  0.148955687783792E+01  0.524922949562873E-01  0.667210803774864E+00
     0.172899999999996E+02  0.118641394070470E+00  0.149209889587157E+01  0.529546269394002E-01  0.665986277442404E+00
     0.172999999999996E+02  0.120108204842186E+00  0.149464227806326E+01  0.534198505728345E-01  0.664763637579043E+00
     0.173099999999996E+02  0.121590122621798E+00  0.149718675322913E+01  0.538879149764543E-01  0.663542981306451E+00
     0.173199999999996E+02  0.123087090618272E+00  0.149973205252372E+01  0.543587661399235E-01  0.662324403852487E+00
     0.173299999999996E+02  0.124599042528328E+00  0.150227790981714E+01  0.548323469816727E-01  0.661107998444435E+00
     0.173399999999996E+02  0.126125902585865E+00  0.150482406207387E+01  0.553085974116543E-01  0.659893856204136E+00
     0.173499999999996E+02  0.127667585626842E+00  0.150737024973237E+01  0.557874543978946E-01  0.658682066045177E+00
     0.173599999999996E+02  0.129223997169546E+00  0.150991621708525E+01  0.562688520366688E-01  0.657472714572237E+00
     0.173699999999996E+02  0.130795033510608E+00  0.151246171265884E+01  0.567527216263135E-01  0.656265885982766E+00
     0.173799999999996E+02  0.132380581836735E+00  0.151500648959207E+01  0.572389917445281E-01  0.655061661971054E+00
     0.173899999999996E+02  0.133980520352314E+00  0.151755030601341E+01  0.577275883291178E-01  0.653860121634881E+00
     0.173999999999996E+02  0.135594718422887E+00  0.152009292541579E+01  0.582184347620522E-01  0.652661341384804E+00
     0.174099999999996E+02  0.137223036734561E+00  0.152263411702822E+01  0.587114519567791E-01  0.651465394856254E+00
     0.174199999999996E+02  0.138865327469344E+00  0.152517365618401E+01  0.592065584486716E-01  0.650272352824482E+00
     0.174299999999996E+02  0.140521434496344E+00  0.152771132468431E+01  0.597036704885262E-01  0.649082283122544E+00
     0.174399999999996E+02  0.142191193578773E+00  0.153024691115680E+01  0.602027021389873E-01  0.647895250562346E+00
     0.174499999999996E+02  0.143874432596650E+00  0.153278021140847E+01  0.607035653738044E-01  0.646711316858909E+00
     0.174599999999996E+02  0.145570971785085E+00  0.153531102877194E+01  0.612061701798187E-01  0.645530540557918E+00
     0.174699999999996E+02  0.147280623987949E+00  0.153783917444457E+01  0.617104246615490E-01  0.644352976966645E+00
     0.174799999999996E+02  0.149003194926765E+00  0.154036446781973E+01  0.622162351482884E-01  0.643178678088370E+00
     0.174899999999996E+02  0.150738483484552E+00  0.154288673680948E+01  0.627235063035658E-01  0.642007692560313E+00
     0.174999999999996E+02  0.152486282004346E+00  0.154540581815798E+01  0.632321412368651E-01  0.640840065595235E+00
     0.175099999999996E+02  0.154246376602194E+00  0.154792155774492E+01  0.637420416175105E-01  0.639675838926742E+00
     0.175199999999996E+02  0.156018547494153E+00  0.155043381087845E+01  0.642531077905429E-01  0.638515050758363E+00
     0.175299999999996E+02  0.157802569337037E+00  0.155294244257677E+01  0.647652388945005E-01  0.637357735716461E+00
     0.175399999999996E+02  0.159598211582435E+00  0.155544732783783E+01  0.652783329809591E-01  0.636203924807110E+00
     0.175499999999996E+02  0.161405238843696E+00  0.155794835189649E+01  0.657922871357336E-01  0.635053645376890E+00
     0.175599999999996E+02  0.163223411275247E+00  0.156044541046858E+01  0.663069976015563E-01  0.633906921077756E+00
     0.175699999999996E+02  0.165052484963957E+00  0.156293840998119E+01  0.668223599021720E-01  0.632763771835958E+00
     0.175799999999996E+02  0.166892212331837E+00  0.156542726778859E+01  0.673382689676447E-01  0.631624213825131E+00
     0.175899999999996E+02  0.168742342549720E+00  0.156791191237343E+01  0.678546192608163E-01  0.630488259443536E+00
     0.175999999999996E+02  0.170602621961151E+00  0.157039228353238E+01  0.683713049047025E-01  0.629355917295538E+00
     0.176099999999996E+02  0.172472794516099E+00  0.157286833254595E+01  0.688882198107724E-01  0.628227192177341E+00
     0.176199999999996E+02  0.174352602213695E+00  0.157534002233195E+01  0.694052578079099E-01  0.627102085067012E+00
     0.176299999999996E+02  0.176241785553426E+00  0.157780732758203E+01  0.699223127719440E-01  0.625980593118836E+00
     0.176399999999996E+02  0.178140083994171E+00  0.158027023488101E+01  0.704392787556359E-01  0.624862709662019E+00
     0.176499999999996E+02  0.180047236420246E+00  0.158272874280847E+01  0.709560501189192E-01  0.623748424203767E+00
     0.176599999999996E+02  0.181962981613866E+00  0.158518286202242E+01  0.714725216593057E-01  0.622637722436751E+00
     0.176699999999996E+02  0.183887058733287E+00  0.158763261532449E+01  0.719885887423082E-01  0.621530586250988E+00
     0.176799999999996E+02  0.185819207795817E+00  0.159007803770644E+01  0.725041474317094E-01  0.620426993750139E+00
     0.176899999999996E+02  0.187759170164993E+00  0.159251917637785E+01  0.730190946195572E-01  0.619326919272222E+00
     0.176999999999996E+02  0.189706689041135E+00  0.159495609077442E+01  0.735333281557421E-01  0.618230333414779E+00
     0.177099999999996E+02  0.191661509954526E+00  0.159738885254699E+01  0.740467469770100E-01  0.617137203064440E+00
     0.177199999999996E+02  0.193623381260312E+00  0.159981754553104E+01  0.745592512352387E-01  0.616047491430938E+00
     0.177299999999996E+02  0.195592054634470E+00  0.160224226569634E+01  0.750707424248761E-01  0.614961158085517E+00
     0.177399999999996E+02  0.197567285569960E+00  0.160466312107690E+01  0.755811235093793E-01  0.613878159003767E+00
