#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.560000000000000E+00  0.232091226305387E+00  0.276045387247143E-02  0.430804116426352E+01  0.512391144808283E-01
     0.570000000000000E+00  0.232037848563122E+00  0.281370526914217E-02  0.430900814861488E+01  0.522512986894723E-01
     0.580000000000000E+00  0.231983533130514E+00  0.286719196819886E-02  0.430999240982722E+01  0.532691930918316E-01
     0.590000000000000E+00  0.231928281716866E+00  0.292092025038705E-02  0.431099392982940E+01  0.542929451109654E-01
     0.600000000000000E+00  0.231872096207215E+00  0.297489648762518E-02  0.431201268732216E+01  0.553227042319325E-01
     0.610000000000000E+00  0.231814978673293E+00  0.302912713996463E-02  0.431304865755803E+01  0.563586219465559E-01
     0.620000000000000E+00  0.231756931384907E+00  0.308361875187585E-02  0.431410181211298E+01  0.574008516847298E-01
     0.630000000000000E+00  0.231697956821674E+00  0.313837794779782E-02  0.431517211865063E+01  0.584495487310153E-01
     0.640000000000000E+00  0.231638057685147E+00  0.319341142688438E-02  0.431625954067866E+01  0.595048701251729E-01
     0.650000000000000E+00  0.231577236911246E+00  0.324872595687793E-02  0.431736403729892E+01  0.605669745452567E-01
     0.660000000000000E+00  0.231515497683025E+00  0.330432836703756E-02  0.431848556295077E+01  0.616360221717749E-01
     0.670000000000000E+00  0.231452843443661E+00  0.336022554004629E-02  0.431962406714970E+01  0.627121745314319E-01
     0.680000000000000E+00  0.231389277909696E+00  0.341642440281930E-02  0.432077949422081E+01  0.637955943188438E-01
     0.690000000000001E+00  0.231324805084416E+00  0.347293191613373E-02  0.432195178302958E+01  0.648864451946564E-01
     0.700000000000001E+00  0.231259429271309E+00  0.352975506299886E-02  0.432314086671049E+01  0.659848915584167E-01
     0.710000000000001E+00  0.231193155087564E+00  0.358690083568584E-02  0.432434667239523E+01  0.670910982945625E-01
     0.720000000000001E+00  0.231125987477445E+00  0.364437622133637E-02  0.432556912094273E+01  0.682052304899246E-01
     0.730000000000001E+00  0.231057931725519E+00  0.370218818607195E-02  0.432680812667236E+01  0.693274531211314E-01
     0.740000000000001E+00  0.230988993469549E+00  0.376034365752860E-02  0.432806359710349E+01  0.704579307104261E-01
     0.750000000000001E+00  0.230919178712969E+00  0.381884950574672E-02  0.432933543270327E+01  0.715968269484502E-01
     0.760000000000001E+00  0.230848493836753E+00  0.387771252235284E-02  0.433062352664651E+01  0.727443042827401E-01
     0.770000000000001E+00  0.230776945610561E+00  0.393693939797876E-02  0.433192776458979E+01  0.739005234707949E-01
     0.780000000000001E+00  0.230704541202933E+00  0.399653669787490E-02  0.433324802446456E+01  0.750656430968700E-01
     0.790000000000001E+00  0.230631288190372E+00  0.405651083568837E-02  0.433458417629234E+01  0.762398190518681E-01
     0.800000000000001E+00  0.230557194565081E+00  0.411686804539305E-02  0.433593608202668E+01  0.774232039760687E-01
     0.810000000000001E+00  0.230482268741148E+00  0.417761435137829E-02  0.433730359542619E+01  0.786159466648039E-01
     0.820000000000001E+00  0.230406519558926E+00  0.423875553672572E-02  0.433868656196358E+01  0.798181914376656E-01
     0.830000000000001E+00  0.230329956287350E+00  0.430029710972972E-02  0.434008481877590E+01  0.810300774723366E-01
     0.840000000000001E+00  0.230252588623948E+00  0.436224426874597E-02  0.434149819466086E+01  0.822517381047179E-01
     0.850000000000001E+00  0.230174426692258E+00  0.442460186548553E-02  0.434292651012510E+01  0.834833000977012E-01
     0.860000000000001E+00  0.230095481036382E+00  0.448737436690713E-02  0.434436957748971E+01  0.847248828816243E-01
     0.870000000000001E+00  0.230015762612416E+00  0.455056581589935E-02  0.434582720105835E+01  0.859765977702356E-01
     0.880000000000001E+00  0.229935282776459E+00  0.461417979098482E-02  0.434729917735379E+01  0.872385471568197E-01
     0.890000000000001E+00  0.229854053268980E+00  0.467821936532241E-02  0.434878529542748E+01  0.885108236959847E-01
