#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233327879426805E+00  -.119214612230239E-16  0.428581446184918E+01  -.218975850813567E-15
     0.100000000000000E-01  0.233327400733104E+00  0.496769765922783E-04  0.428582306033825E+01  0.912480622413511E-03
     0.200000000000000E-01  0.233325964651443E+00  0.993582938760330E-04  0.428584885595008E+01  0.182506319334793E-02
     0.300000000000000E-01  0.233323571180203E+00  0.149048295587441E-03  0.428589184911727E+01  0.273784972496270E-02
     0.400000000000000E-01  0.233320220316888E+00  0.198751331553991E-03  0.428595204055687E+01  0.365094235673308E-02
     0.500000000000000E-01  0.233315912058426E+00  0.248471760744722E-03  0.428602943126439E+01  0.456444341920101E-02
     0.600000000000000E-01  0.233310646401590E+00  0.298213954325969E-03  0.428612402250542E+01  0.547845549783774E-02
     0.700000000000000E-01  0.233304423343562E+00  0.347982298724327E-03  0.428623581580456E+01  0.639308149705243E-02
     0.800000000000000E-01  0.233297242882594E+00  0.397781198698546E-03  0.428636481293225E+01  0.730842470438244E-02
     0.900000000000000E-01  0.233289105018816E+00  0.447615080421952E-03  0.428651101588881E+01  0.822458885489701E-02
     0.100000000000000E+00  0.233280009755182E+00  0.497488394576879E-03  0.428667442688572E+01  0.914167819584365E-02
     0.110000000000000E+00  0.233269957098529E+00  0.547405619462518E-03  0.428685504832458E+01  0.100597975515679E-01
     0.120000000000000E+00  0.233258947060801E+00  0.597371264117382E-03  0.428705288277298E+01  0.109790523887284E-01
     0.130000000000000E+00  0.233246979660402E+00  0.647389871457492E-03  0.428726793293756E+01  0.118995488818305E-01
     0.140000000000000E+00  0.233234054923694E+00  0.697466021431122E-03  0.428750020163443E+01  0.128213939790973E-01
     0.150000000000000E+00  0.233220172886667E+00  0.747604334190776E-03  0.428774969175604E+01  0.137446954686879E-01
     0.160000000000000E+00  0.233205333596764E+00  0.797809473282804E-03  0.428801640623500E+01  0.146695620452732E-01
     0.170000000000000E+00  0.233189537114861E+00  0.848086148854769E-03  0.428830034800486E+01  0.155961033769737E-01
     0.180000000000000E+00  0.233172783517436E+00  0.898439120880374E-03  0.428860151995701E+01  0.165244301726504E-01
     0.190000000000000E+00  0.233155072898926E+00  0.948873202401407E-03  0.428891992489404E+01  0.174546542495416E-01
     0.200000000000000E+00  0.233136405374255E+00  0.999393262785754E-03  0.428925556547950E+01  0.183868886012252E-01
     0.210000000000000E+00  0.233116781081592E+00  0.105000423100005E-02  0.428960844418323E+01  0.193212474658762E-01
     0.220000000000000E+00  0.233096200185296E+00  0.110071109889513E-02  0.428997856322291E+01  0.202578463947844E-01
     0.230000000000000E+00  0.233074662879092E+00  0.115151892450181E-02  0.429036592450089E+01  0.211968023210801E-01
     0.240000000000000E+00  0.233052169389492E+00  0.120243283533391E-02  0.429077052953644E+01  0.221382336286045E-01
     0.250000000000000E+00  0.233028719979444E+00  0.125345803169476E-02  0.429119237939318E+01  0.230822602208526E-01
     0.260000000000000E+00  0.233004314952250E+00  0.130459978998279E-02  0.429163147460118E+01  0.240290035898933E-01
     0.270000000000000E+00  0.232978954655756E+00  0.135586346599070E-02  0.429208781507384E+01  0.249785868851596E-01
     0.280000000000000E+00  0.232952639486824E+00  0.140725449819199E-02  0.429256140001887E+01  0.259311349819822E-01
     0.290000000000000E+00  0.232925369896117E+00  0.145877841100761E-02  0.429305222784327E+01  0.268867745497150E-01
     0.300000000000000E+00  0.232897146393203E+00  0.151044081804410E-02  0.429356029605181E+01  0.278456341192829E-01
     0.310000000000000E+00  0.232867969551978E+00  0.156224742529371E-02  0.429408560113911E+01  0.288078441499573E-01
     0.320000000000000E+00  0.232837840016452E+00  0.161420403428520E-02  0.429462813847462E+01  0.297735370951329E-01
     0.330000000000000E+00  0.232806758506948E+00  0.166631654517285E-02  0.429518790217930E+01  0.307428474668362E-01
     0.340000000000000E+00  0.232774725826608E+00  0.171859095974932E-02  0.429576488499608E+01  0.317159118987091E-01
     0.350000000000000E+00  0.232741742868398E+00  0.177103338436605E-02  0.429635907815047E+01  0.326928692070984E-01
     0.360000000000000E+00  0.232707810622510E+00  0.182365003274331E-02  0.429697047120328E+01  0.336738604499118E-01
     0.370000000000000E+00  0.232672930184213E+00  0.187644722864914E-02  0.429759905189420E+01  0.346590289828190E-01
     0.380000000000000E+00  0.232637102762220E+00  0.192943140842463E-02  0.429824480597532E+01  0.356485205123248E-01
     0.390000000000000E+00  0.232600329687515E+00  0.198260912332967E-02  0.429890771703530E+01  0.366424831452163E-01
     0.400000000000000E+00  0.232562612422759E+00  0.203598704168103E-02  0.429958776631206E+01  0.376410674337822E-01
     0.410000000000000E+00  0.232523952572209E+00  0.208957195075089E-02  0.430028493249523E+01  0.386444264161913E-01
     0.420000000000000E+00  0.232484351892242E+00  0.214337075839073E-02  0.430099919151655E+01  0.396527156512952E-01
     0.430000000000000E+00  0.232443812302478E+00  0.219739049434175E-02  0.430173051632830E+01  0.406660932470813E-01
     0.440000000000000E+00  0.232402335897547E+00  0.225163831118863E-02  0.430247887666896E+01  0.416847198818963E-01
     0.450000000000000E+00  0.232359924959485E+00  0.230612148490921E-02  0.430324423881633E+01  0.427087588174960E-01
     0.460000000000000E+00  0.232316581970860E+00  0.236084741496762E-02  0.430402656532599E+01  0.437383759028290E-01
     0.470000000000000E+00  0.232272309628575E+00  0.241582362389341E-02  0.430482581475657E+01  0.447737395674293E-01
     0.480000000000000E+00  0.232227110858413E+00  0.247105775628318E-02  0.430564194138002E+01  0.458150208031139E-01
     0.490000000000000E+00  0.232180988830355E+00  0.252655757715554E-02  0.430647489487660E+01  0.468623931325857E-01
     0.500000000000000E+00  0.232133946974657E+00  0.258233096958349E-02  0.430732462001489E+01  0.479160325634245E-01
     0.510000000000000E+00  0.232085988998748E+00  0.263838593152111E-02  0.430819105631549E+01  0.489761175257727E-01
     0.520000000000000E+00  0.232037118904927E+00  0.269473057173441E-02  0.430907413769878E+01  0.500428287919086E-01
     0.530000000000000E+00  0.231987341008889E+00  0.275137310473781E-02  0.430997379211654E+01  0.511163493757184E-01
     0.540000000000000E+00  0.231936659959112E+00  0.280832184462952E-02  0.431088994116635E+01  0.521968644099012E-01
     0.550000000000000E+00  0.231885080757050E+00  0.286558519771001E-02  0.431182249969025E+01  0.532845609986045E-01
     0.560000000000000E+00  0.231832608778186E+00  0.292317165375853E-02  0.431277137535642E+01  0.543796280429438E-01
     0.570000000000000E+00  0.231779249793902E+00  0.298108977583263E-02  0.431373646822502E+01  0.554822560367106E-01
     0.580000000000000E+00  0.231725009994164E+00  0.303934818844574E-02  0.431471767029788E+01  0.565926368293389E-01
     0.590000000000000E+00  0.231669896010980E+00  0.309795556396691E-02  0.431571486505347E+01  0.577109633530177E-01
     0.600000000000000E+00  0.231613914942581E+00  0.315692060707661E-02  0.431672792696762E+01  0.588374293106077E-01
     0.610000000000000E+00  0.231557074378305E+00  0.321625203710096E-02  0.431775672102100E+01  0.599722288207975E-01
     0.620000000000000E+00  0.231499382424066E+00  0.327595856803655E-02  0.431880110219546E+01  0.611155560167581E-01
     0.630000000000000E+00  0.231440847728365E+00  0.333604888606661E-02  0.431986091496036E+01  0.622676045942862E-01
     0.640000000000000E+00  0.231381479508681E+00  0.339653162435937E-02  0.432093599275196E+01  0.634285673052933E-01
     0.650000000000000E+00  0.231321287578152E+00  0.345741533492955E-02  0.432202615744824E+01  0.645986353922558E-01
     0.660000000000000E+00  0.231260282372379E+00  0.351870845733498E-02  0.432313121884212E+01  0.657779979590889E-01
     0.670000000000000E+00  0.231198474976125E+00  0.358041928397291E-02  0.432425097411806E+01  0.669668412738007E-01
     0.680000000000000E+00  0.231135877149743E+00  0.364255592173454E-02  0.432538520733540E+01  0.681653479981182E-01
     0.690000000000001E+00  0.231072501355039E+00  0.370512624977270E-02  0.432653368892459E+01  0.693736963392715E-01
     0.700000000000001E+00  0.231008360780269E+00  0.376813787313630E-02  0.432769617520215E+01  0.705920591190964E-01
     0.710000000000001E+00  0.230943469363949E+00  0.383159807202788E-02  0.432887240791148E+01  0.718206027556868E-01
     0.720000000000001E+00  0.230877841817070E+00  0.389551374644680E-02  0.433006211379730E+01  0.730594861529874E-01
     0.730000000000001E+00  0.230811493643284E+00  0.395989135599181E-02  0.433126500422310E+01  0.743088594939733E-01
     0.740000000000001E+00  0.230744441156548E+00  0.402473685461438E-02  0.433248077484150E+01  0.755688629334420E-01
     0.750000000000001E+00  0.230676701495699E+00  0.409005562013775E-02  0.433370910532892E+01  0.768396251869553E-01
     0.760000000000001E+00  0.230608292635292E+00  0.415585237838902E-02  0.433494965919742E+01  0.781212620131735E-01
     0.770000000000001E+00  0.230539233392069E+00  0.422213112183250E-02  0.433620208369699E+01  0.794138745876552E-01
     0.780000000000001E+00  0.230469543426257E+00  0.428889502264442E-02  0.433746600982441E+01  0.807175477673371E-01
     0.790000000000001E+00  0.230399243236891E+00  0.435614634023222E-02  0.433874105245475E+01  0.820323482461846E-01
     0.800000000000001E+00  0.230328354150290E+00  0.442388632327859E-02  0.434002681061332E+01  0.833583226041145E-01
     0.810000000000001E+00  0.230256898300694E+00  0.449211510648072E-02  0.434132286790780E+01  0.846954952531822E-01
     0.820000000000001E+00  0.230184898602038E+00  0.456083160226314E-02  0.434262879314103E+01  0.860438662872392E-01
     0.830000000000001E+00  0.230112378709840E+00  0.463003338786514E-02  0.434394414112519E+01  0.874034092437581E-01
     0.840000000000001E+00  0.230039362971980E+00  0.469971658834669E-02  0.434526845372133E+01  0.887740687895277E-01
     0.850000000000001E+00  0.229965876367292E+00  0.476987575621689E-02  0.434660126112587E+01  0.901557583450887E-01
     0.860000000000001E+00  0.229891944430728E+00  0.484050374856879E-02  0.434794208342838E+01  0.915483576665159E-01
     0.870000000000001E+00  0.229817593163911E+00  0.491159160280355E-02  0.434929043246398E+01  0.929517104071667E-01
     0.880000000000001E+00  0.229742848929930E+00  0.498312841224380E-02  0.435064581398259E+01  0.943656216863505E-01
     0.890000000000001E+00  0.229667738331227E+00  0.505510120317016E-02  0.435200773015718E+01  0.957898556966465E-01
     0.900000000000001E+00  0.229592288069568E+00  0.512749481506299E-02  0.435337568245021E+01  0.972241333864882E-01
     0.910000000000001E+00  0.229516524787178E+00  0.520029178609049E-02  0.435474917485548E+01  0.986681302598320E-01
     0.920000000000001E+00  0.229440474888294E+00  0.527347224614945E-02  0.435612771752862E+01  0.100121474339929E+00
     0.930000000000001E+00  0.229364164340651E+00  0.534701382002941E-02  0.435751083081436E+01  0.101583744349390E+00
     0.940000000000001E+00  0.229287618456605E+00  0.542089154352813E-02  0.435889804967451E+01  0.103054468163765E+00
     0.950000000000001E+00  0.229210861654027E+00  0.549507779558605E-02  0.436028892851130E+01  0.104533121600353E+00
     0.960000000000001E+00  0.229133917197452E+00  0.556954224971873E-02  0.436168304637451E+01  0.106019127607944E+00
     0.970000000000001E+00  0.229056806920392E+00  0.564425184819806E-02  0.436308001253078E+01  0.107511855926297E+00
     0.980000000000002E+00  0.228979550930312E+00  0.571917080254983E-02  0.436447947236252E+01  0.109010623286009E+00
     0.990000000000002E+00  0.228902167298288E+00  0.579426062398323E-02  0.436588111355285E+01  0.110514694219938E+00
     0.100000000000000E+01  0.228824671736039E+00  0.586948018733256E-02  0.436728467249944E+01  0.112023282556028E+00
     0.101000000000000E+01  0.228747077263593E+00  0.594478583195450E-02  0.436868994088888E+01  0.113535553658118E+00
     0.102000000000000E+01  0.228669393871732E+00  0.602013150277465E-02  0.437009677234577E+01  0.115050627475446E+00
     0.103000000000000E+01  0.228591628183788E+00  0.609546893429892E-02  0.437150508906205E+01  0.116567582453561E+00
     0.104000000000000E+01  0.228513783122323E+00  0.617074787988840E-02  0.437291488829365E+01  0.118085460348035E+00
     0.105000000000000E+01  0.228435857586647E+00  0.624591638793664E-02  0.437432624860367E+01  0.119603271968683E+00
     0.106000000000000E+01  0.228357846147846E+00  0.632092112577875E-02  0.437573933571733E+01  0.121120003865029E+00
     0.107000000000000E+01  0.228279738768338E+00  0.639570775121205E-02  0.437715440784827E+01  0.122634625944342E+00
     0.108000000000000E+01  0.228201520553438E+00  0.647022133042587E-02  0.437857182034756E+01  0.124146099991390E+00
     0.109000000000000E+01  0.228123171542390E+00  0.654440679994297E-02  0.437999202952820E+01  0.125653389035116E+00
     0.110000000000000E+01  0.228044666546488E+00  0.661820946889546E-02  0.438141559551628E+01  0.127155467481635E+00
     0.111000000000000E+01  0.227965975041445E+00  0.669157555662888E-02  0.438284318399023E+01  0.128651331906854E+00
     0.112000000000000E+01  0.227887061120770E+00  0.676445275929135E-02  0.438427556667950E+01  0.130140012375699E+00
     0.113000000000000E+01  0.227807883516045E+00  0.683679083777258E-02  0.438571362051212E+01  0.131620584130047E+00
     0.114000000000000E+01  0.227728395689049E+00  0.690854221816190E-02  0.438715832532124E+01  0.133092179464643E+00
     0.115000000000000E+01  0.227648545999247E+00  0.697966259485548E-02  0.438861076005014E+01  0.134553999591122E+00
     0.116000000000000E+01  0.227568277948726E+00  0.705011152561317E-02  0.439007209742465E+01  0.136005326275307E+00
     0.117000000000000E+01  0.227487530504943E+00  0.711985300730113E-02  0.439154359709687E+01  0.137445533023643E+00
     0.118000000000000E+01  0.227406238499717E+00  0.718885602080211E-02  0.439302659730251E+01  0.138874095591715E+00
     0.119000000000000E+01  0.227324333101061E+00  0.725709503366170E-02  0.439452250511081E+01  0.140290601591587E+00
     0.120000000000000E+01  0.227241742352431E+00  0.732455044949525E-02  0.439603278538534E+01  0.141694758986016E+00
