#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233316570267658E+00  -.728412374321930E-16  0.428602220087846E+01  -.133809253417230E-14
     0.100000000000000E-01  0.233316093662104E+00  0.500068357885431E-04  0.428603075924339E+01  0.918628599502139E-03
     0.200000000000000E-01  0.233314663855088E+00  0.100018281087449E-03  0.428605643428867E+01  0.183736414213386E-02
     0.300000000000000E-01  0.233312280875642E+00  0.150038948247256E-03  0.428609922586377E+01  0.275631363046315E-02
     0.400000000000000E-01  0.233308944772467E+00  0.200073455295700E-03  0.428615913371180E+01  0.367558418587534E-02
     0.500000000000000E-01  0.233304655614416E+00  0.250126428767311E-03  0.428623615745992E+01  0.459528310781178E-02
     0.600000000000000E-01  0.233299413491167E+00  0.300202506522271E-03  0.428633029660640E+01  0.551551793280573E-02
     0.700000000000000E-01  0.233293218514069E+00  0.350306340550505E-03  0.428644155050393E+01  0.643639649324017E-02
     0.800000000000000E-01  0.233286070817242E+00  0.400442599756876E-03  0.428656991833839E+01  0.735802697574594E-02
     0.900000000000000E-01  0.233277970558803E+00  0.450615972722962E-03  0.428671539910480E+01  0.828051797915994E-02
     0.100000000000000E+00  0.233268917922349E+00  0.500831170440542E-03  0.428687799157846E+01  0.920397857194476E-02
     0.110000000000000E+00  0.233258913118634E+00  0.551092929011422E-03  0.428705769428226E+01  0.101285183489704E-01
     0.120000000000000E+00  0.233247956387449E+00  0.601406012307696E-03  0.428725450545002E+01  0.110542474875447E-01
     0.130000000000000E+00  0.233236047999735E+00  0.651775214585946E-03  0.428746842298527E+01  0.119812768025673E-01
     0.140000000000000E+00  0.233223188259880E+00  0.702205363048114E-03  0.428769944441647E+01  0.129097178006704E-01
     0.150000000000000E+00  0.233209377508310E+00  0.752701320341068E-03  0.428794756684646E+01  0.138396827331851E-01
     0.160000000000000E+00  0.233194616124245E+00  0.803267986985948E-03  0.428821278689868E+01  0.147712846477735E-01
     0.170000000000000E+00  0.233178904528733E+00  0.853910303727457E-03  0.428849510065801E+01  0.157046374385267E-01
     0.180000000000000E+00  0.233162243187929E+00  0.904633253792125E-03  0.428879450360679E+01  0.166398558943203E-01
     0.190000000000000E+00  0.233144632616607E+00  0.955441865043509E-03  0.428911099055621E+01  0.175770557451973E-01
     0.200000000000000E+00  0.233126073381949E+00  0.100634121202089E-02  0.428944455557238E+01  0.185163537065148E-01
     0.210000000000000E+00  0.233106566107602E+00  0.105733641784673E-02  0.428979519189719E+01  0.194578675205699E-01
     0.220000000000000E+00  0.233086111477996E+00  0.110843265598669E-02  0.429016289186390E+01  0.204017159953916E-01
     0.230000000000000E+00  0.233064710242947E+00  0.115963515184422E-02  0.429054764680730E+01  0.213480190403508E-01
     0.240000000000000E+00  0.233042363222549E+00  0.121094918417020E-02  0.429094944696805E+01  0.222968976982068E-01
     0.250000000000000E+00  0.233019071312365E+00  0.126238008626614E-02  0.429136828139142E+01  0.232484741731748E-01
     0.260000000000000E+00  0.232994835488887E+00  0.131393324695755E-02  0.429180413782045E+01  0.242028718545620E-01
     0.270000000000000E+00  0.232969656815337E+00  0.136561411131190E-02  0.429225700258260E+01  0.251602153354687E-01
     0.280000000000000E+00  0.232943536447742E+00  0.141742818107347E-02  0.429272686047100E+01  0.261206304260245E-01
     0.290000000000000E+00  0.232916475641322E+00  0.146938101478513E-02  0.429321369461949E+01  0.270842441605717E-01
     0.300000000000000E+00  0.232888475757194E+00  0.152147822756454E-02  0.429371748637151E+01  0.280511847981623E-01
     0.310000000000000E+00  0.232859538269377E+00  0.157372549049994E-02  0.429423821514305E+01  0.290215818156947E-01
     0.320000000000000E+00  0.232829664772081E+00  0.162612852962805E-02  0.429477585827991E+01  0.299955658929601E-01
     0.330000000000000E+00  0.232798856987323E+00  0.167869312445406E-02  0.429533039090878E+01  0.309732688888151E-01
     0.340000000000000E+00  0.232767116772783E+00  0.173142510597121E-02  0.429590178578318E+01  0.319548238076610E-01
     0.350000000000000E+00  0.232734446129973E+00  0.178433035413460E-02  0.429649001312364E+01  0.329403647553370E-01
     0.360000000000000E+00  0.232700847212630E+00  0.183741479474191E-02  0.429709504045306E+01  0.339300268835118E-01
     0.370000000000000E+00  0.232666322335346E+00  0.189068439567083E-02  0.429771683242765E+01  0.349239463215962E-01
     0.380000000000000E+00  0.232630873982400E+00  0.194414516242121E-02  0.429835535066366E+01  0.359222600951597E-01
     0.390000000000000E+00  0.232594504816754E+00  0.199780313290813E-02  0.429901055356087E+01  0.369251060298067E-01
     0.400000000000000E+00  0.232557217689185E+00  0.205166437145029E-02  0.429968239612336E+01  0.379326226394244E-01
     0.410000000000000E+00  0.232519015647472E+00  0.210573496189762E-02  0.430037082977896E+01  0.389449489977173E-01
     0.420000000000000E+00  0.232479901945630E+00  0.216002099984113E-02  0.430107580219787E+01  0.399622245919077E-01
     0.430000000000000E+00  0.232439880053087E+00  0.221452858384894E-02  0.430179725711201E+01  0.409845891575138E-01
     0.440000000000000E+00  0.232398953663740E+00  0.226926380567326E-02  0.430253513413679E+01  0.420121824931328E-01
