#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233318079803739E+00  0.292133787134315E-15  0.428599447090072E+01  0.536642422856463E-14
     0.100000000000000E-01  0.233317602495677E+00  0.499465834475405E-04  0.428600304253531E+01  0.917509893512507E-03
     0.200000000000000E-01  0.233316170578207E+00  0.998977395236733E-04  0.428602875744465E+01  0.183512605809146E-02
     0.300000000000000E-01  0.233313784071557E+00  0.149858043901437E-03  0.428607161564392E+01  0.275295482818484E-02
     0.400000000000000E-01  0.233310443009743E+00  0.199832078340249E-03  0.428613161715253E+01  0.367110266495733E-02
     0.500000000000000E-01  0.233306147440983E+00  0.249824433726868E-03  0.428620876198599E+01  0.458967621960822E-02
     0.600000000000000E-01  0.233300897428327E+00  0.299839713112712E-03  0.428630305014355E+01  0.550878239662156E-02
     0.700000000000000E-01  0.233294693050448E+00  0.349882534746539E-03  0.428641448159278E+01  0.642852841693078E-02
     0.800000000000000E-01  0.233287534402606E+00  0.399957535100936E-03  0.428654305625065E+01  0.734902188096894E-02
     0.900000000000000E-01  0.233279421597812E+00  0.450069371890919E-03  0.428668877396073E+01  0.827037083157125E-02
     0.100000000000000E+00  0.233270354768174E+00  0.500222727082567E-03  0.428685163446694E+01  0.919268381669207E-02
     0.110000000000000E+00  0.233260334066439E+00  0.550422309889364E-03  0.428703163738325E+01  0.101160699518898E-01
     0.120000000000000E+00  0.233249359667728E+00  0.600672859753451E-03  0.428722878215973E+01  0.110406389825279E-01
     0.130000000000000E+00  0.233237431771473E+00  0.650979149308584E-03  0.428744306804462E+01  0.119665013456302E-01
     0.140000000000000E+00  0.233224550603582E+00  0.701345987321053E-03  0.428767449404202E+01  0.128937682313151E-01
     0.150000000000000E+00  0.233210716418798E+00  0.751778221604224E-03  0.428792305886551E+01  0.138225516437281E-01
     0.160000000000000E+00  0.233195929503291E+00  0.802280741901714E-03  0.428818876088751E+01  0.147529644613753E-01
     0.170000000000000E+00  0.233180190177505E+00  0.852858482733468E-03  0.428847159808346E+01  0.156851204967405E-01
     0.180000000000000E+00  0.233163498799200E+00  0.903516426198185E-03  0.428877156797226E+01  0.166191345550695E-01
     0.190000000000000E+00  0.233145855766796E+00  0.954259604724585E-03  0.428908866755059E+01  0.175551224921598E-01
     0.200000000000000E+00  0.233127261522932E+00  0.100509310376311E-02  0.428942289322337E+01  0.184932012710076E-01
     0.210000000000000E+00  0.233107716558342E+00  0.105602206440833E-02  0.428977424072761E+01  0.194334890171044E-01
     0.220000000000000E+00  0.233087221415975E+00  0.110705168594137E-02  0.429014270505175E+01  0.203761050721896E-01
     0.230000000000000E+00  0.233065776695422E+00  0.115818722828006E-02  0.429052828034878E+01  0.213211700462070E-01
     0.240000000000000E+00  0.233043383057661E+00  0.120943401432318E-02  0.429093095984324E+01  0.222688058672011E-01
     0.250000000000000E+00  0.233020041230104E+00  0.126079743217355E-02  0.429135073573226E+01  0.232191358288554E-01
     0.260000000000000E+00  0.232995752011981E+00  0.131228293722286E-02  0.429178759907992E+01  0.241722846353337E-01
     0.270000000000000E+00  0.232970516280059E+00  0.136389605407935E-02  0.429224153970503E+01  0.251283784430547E-01
     0.280000000000000E+00  0.232944334994748E+00  0.141564237831717E-02  0.429271254606145E+01  0.260875448989794E-01
     0.290000000000000E+00  0.232917209206523E+00  0.146752757802418E-02  0.429320060511195E+01  0.270499131749662E-01
     0.300000000000000E+00  0.232889140062784E+00  0.151955739512236E-02  0.429370570219374E+01  0.280156139976669E-01
     0.310000000000000E+00  0.232860128815073E+00  0.157173764643233E-02  0.429422782087667E+01  0.289847796734192E-01
     0.320000000000000E+00  0.232830176826721E+00  0.162407422445084E-02  0.429476694281334E+01  0.299575441075135E-01
     0.330000000000000E+00  0.232799285580901E+00  0.167657309780666E-02  0.429532304758088E+01  0.309340428171565E-01
     0.340000000000000E+00  0.232767456689114E+00  0.172924031135728E-02  0.429589611251443E+01  0.319144129373924E-01
     0.350000000000000E+00  0.232734691900124E+00  0.178208198588529E-02  0.429648611253178E+01  0.328987932191691E-01
     0.360000000000000E+00  0.232700993109324E+00  0.183510431734940E-02  0.429709301994950E+01  0.338873240186673E-01
     0.370000000000000E+00  0.232666362368576E+00  0.188831357564127E-02  0.429771680428967E+01  0.348801472769228E-01
     0.380000000000000E+00  0.232630801896490E+00  0.194171610279493E-02  0.429835743207823E+01  0.358774064887085E-01
     0.390000000000000E+00  0.232594314089179E+00  0.199531831059145E-02  0.429901486663374E+01  0.368792466595305E-01
     0.400000000000000E+00  0.232556901531467E+00  0.204912667749653E-02  0.429968906784744E+01  0.378858142495256E-01
     0.410000000000000E+00  0.232518567008527E+00  0.210314774486428E-02  0.430037999195468E+01  0.388972571029449E-01
     0.420000000000000E+00  0.232479313518002E+00  0.215738811233514E-02  0.430108759129708E+01  0.399137243617935E-01
     0.430000000000000E+00  0.232439144282513E+00  0.221185443235111E-02  0.430181181407705E+01  0.409353663621387E-01
     0.440000000000000E+00  0.232398062762596E+00  0.226655340370633E-02  0.430255260410380E+01  0.419623345114500E-01
     0.450000000000000E+00  0.232356072669988E+00  0.232149176404569E-02  0.430330990053279E+01  0.429947811452811E-01
     0.460000000000000E+00  0.232313177981269E+00  0.237667628121945E-02  0.430408363759795E+01  0.440328593614630E-01
     0.470000000000000E+00  0.232269382951798E+00  0.243211374339666E-02  0.430487374433850E+01  0.450767228299130E-01
     0.480000000000000E+00  0.232224692129843E+00  0.248781094783599E-02  0.430568014432171E+01  0.461265255760761E-01
     0.490000000000000E+00  0.232179110370919E+00  0.254377468820800E-02  0.430650275536200E+01  0.471824217359047E-01
     0.500000000000000E+00  0.232132642852179E+00  0.260001174035978E-02  0.430734148923889E+01  0.482445652802542E-01
     0.510000000000000E+00  0.232085295086787E+00  0.265652884640981E-02  0.430819625141552E+01  0.493131097064991E-01
     0.520000000000000E+00  0.232037072938171E+00  0.271333269705944E-02  0.430906694075968E+01  0.503882076951409E-01
     0.530000000000000E+00  0.231987982633998E+00  0.277042991200679E-02  0.430995344927050E+01  0.514700107291934E-01
     0.540000000000000E+00  0.231938030779729E+00  0.282782701835005E-02  0.431085566181353E+01  0.525586686741373E-01
     0.550000000000000E+00  0.231887224371596E+00  0.288553042687043E-02  0.431177345586744E+01  0.536543293163061E-01
     0.560000000000000E+00  0.231835570808775E+00  0.294354640609002E-02  0.431270670128679E+01  0.547571378576931E-01
     0.570000000000000E+00  0.231783077904539E+00  0.300188105400842E-02  0.431365526008505E+01  0.558672363653150E-01
     0.580000000000000E+00  0.231729753896168E+00  0.306054026743297E-02  0.431461898624236E+01  0.569847631734955E-01
     0.590000000000000E+00  0.231675607453303E+00  0.311952970883258E-02  0.431559772554429E+01  0.581098522377643E-01
     0.600000000000000E+00  0.231620647684438E+00  0.317885477066453E-02  0.431659131545731E+01  0.592426324394243E-01
     0.610000000000000E+00  0.231564884141249E+00  0.323852053714778E-02  0.431759958504728E+01  0.603832268403325E-01
     0.620000000000000E+00  0.231508326820335E+00  0.329853174348581E-02  0.431862235494912E+01  0.615317518880527E-01
     0.630000000000000E+00  0.231450986162046E+00  0.335889273257764E-02  0.431965943739407E+01  0.626883165721963E-01
