# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.732732733    0.000239599    0.000239760    0.000026983
    2.747747748    0.000243123    0.000243285    0.000027195
    2.762762763    0.000246714    0.000246878    0.000027409
    2.777777778    0.000250375    0.000250539    0.000027623
    2.792792793    0.000254107    0.000254272    0.000027839
    2.807807808    0.000257911    0.000258078    0.000028056
    2.822822823    0.000261791    0.000261959    0.000028275
    2.837837838    0.000265748    0.000265917    0.000028495
    2.852852853    0.000269785    0.000269954    0.000028717
    2.867867868    0.000273903    0.000274074    0.000028940
    2.882882883    0.000278105    0.000278276    0.000029165
    2.897897898    0.000282393    0.000282566    0.000029391
    2.912912913    0.000286770    0.000286944    0.000029618
    2.927927928    0.000291238    0.000291413    0.000029847
    2.942942943    0.000295800    0.000295976    0.000030078
    2.957957958    0.000300459    0.000300635    0.000030310
    2.972972973    0.000305217    0.000305395    0.000030544
    2.987987988    0.000310077    0.000310256    0.000030780
    3.003003003    0.000315043    0.000315223    0.000031017
    3.018018018    0.000320118    0.000320299    0.000031256
    3.033033033    0.000325305    0.000325487    0.000031497
    3.048048048    0.000330607    0.000330790    0.000031739
    3.063063063    0.000336028    0.000336212    0.000031983
    3.078078078    0.000341571    0.000341756    0.000032229
    3.093093093    0.000347241    0.000347427    0.000032477
    3.108108108    0.000353041    0.000353228    0.000032726
    3.123123123    0.000358976    0.000359164    0.000032978
    3.138138138    0.000365049    0.000365239    0.000033231
    3.153153153    0.000371266    0.000371456    0.000033486
    3.168168168    0.000377630    0.000377822    0.000033743
    3.183183183    0.000384148    0.000384340    0.000034003
    3.198198198    0.000390823    0.000391016    0.000034264
    3.213213213    0.000397661    0.000397855    0.000034527
    3.228228228    0.000404667    0.000404863    0.000034792
    3.243243243    0.000411848    0.000412044    0.000035059
    3.258258258    0.000419208    0.000419406    0.000035329
    3.273273273    0.000426755    0.000426953    0.000035600
    3.288288288    0.000434494    0.000434694    0.000035874
    3.303303303    0.000442433    0.000442633    0.000036150
    3.318318318    0.000450578    0.000450779    0.000036428
    3.333333333    0.000458937    0.000459139    0.000036709
    3.348348348    0.000467517    0.000467720    0.000036992
    3.363363363    0.000476327    0.000476531    0.000037277
    3.378378378    0.000485374    0.000485579    0.000037564
    3.393393393    0.000494668    0.000494874    0.000037854
    3.408408408    0.000504217    0.000504425    0.000038147
    3.423423423    0.000514032    0.000514240    0.000038442
    3.438438438    0.000524122    0.000524331    0.000038739
    3.453453453    0.000534498    0.000534708    0.000039040
    3.468468468    0.000545171    0.000545382    0.000039342
    3.483483483    0.000556152    0.000556364    0.000039648
    3.498498498    0.000567453    0.000567666    0.000039956
    3.513513514    0.000579088    0.000579302    0.000040267
    3.528528529    0.000591070    0.000591284    0.000040581
    3.543543544    0.000603412    0.000603627    0.000040898
    3.558558559    0.000616129    0.000616345    0.000041217
    3.573573574    0.000629237    0.000629454    0.000041540
    3.588588589    0.000642753    0.000642971    0.000041865
    3.603603604    0.000656693    0.000656911    0.000042194
    3.618618619    0.000671076    0.000671295    0.000042526
    3.633633634    0.000685920    0.000686139    0.000042861
    3.648648649    0.000701246    0.000701466    0.000043199
    3.663663664    0.000717074    0.000717295    0.000043541
    3.678678679    0.000733429    0.000733650    0.000043885
    3.693693694    0.000750332    0.000750554    0.000044234
    3.708708709    0.000767809    0.000768032    0.000044585
    3.723723724    0.000785887    0.000786110    0.000044941
    3.738738739    0.000804593    0.000804816    0.000045300
    3.753753754    0.000823957    0.000824181    0.000045662
    3.768768769    0.000844011    0.000844235    0.000046029
    3.783783784    0.000864787    0.000865012    0.000046399
    3.798798799    0.000886322    0.000886547    0.000046773
    3.813813814    0.000908652    0.000908877    0.000047151
    3.828828829    0.000931818    0.000932043    0.000047533
    3.843843844    0.000955861    0.000956087    0.000047919
    3.858858859    0.000980828    0.000981054    0.000048309
    3.873873874    0.001006765    0.001006992    0.000048704
    3.888888889    0.001033725    0.001033951    0.000049103
    3.903903904    0.001061762    0.001061988    0.000049507
    3.918918919    0.001090933    0.001091159    0.000049915
    3.933933934    0.001121303    0.001121528    0.000050327
    3.948948949    0.001152936    0.001153161    0.000050745
    3.963963964    0.001185905    0.001186130    0.000051167
    3.978978979    0.001220285    0.001220510    0.000051595
    3.993993994    0.001256160    0.001256384    0.000052027
    4.009009009    0.001293616    0.001293839    0.000052465
    4.024024024    0.001332748    0.001332971    0.000052908
    4.039039039    0.001373659    0.001373881    0.000053356
    4.054054054    0.001416458    0.001416679    0.000053810
    4.069069069    0.001461263    0.001461482    0.000054269
    4.084084084    0.001508201    0.001508419    0.000054734
    4.099099099    0.001557410    0.001557627    0.000055206
    4.114114114    0.001609040    0.001609255    0.000055683
    4.129129129    0.001663251    0.001663465    0.000056167
    4.144144144    0.001720220    0.001720432    0.000056656
    4.159159159    0.001780137    0.001780346    0.000057153
    4.174174174    0.001843208    0.001843415    0.000057656
    4.189189189    0.001909659    0.001909863    0.000058166
    4.204204204    0.001979736    0.001979938    0.000058683
    4.219219219    0.002053708    0.002053907    0.000059207
    4.234234234    0.002131869    0.002132065    0.000059739
    4.249249249    0.002214542    0.002214734    0.000060278
    4.264264264    0.002302080    0.002302268    0.000060825
    4.279279279    0.002394873    0.002395056    0.000061380
    4.294294294    0.002493349    0.002493528    0.000061943
    4.309309309    0.002597983    0.002598156    0.000062514
    4.324324324    0.002709298    0.002709466    0.000063095
    4.339339339    0.002827875    0.002828036    0.000063684
    4.354354354    0.002954359    0.002954514    0.000064282
    4.369369369    0.003089468    0.003089615    0.000064890
    4.384384384    0.003234004    0.003234143    0.000065508
    4.399399399    0.003388863    0.003388994    0.000066135
    4.414414414    0.003555050    0.003555172    0.000066773
    4.429429429    0.003733698    0.003733809    0.000067422
    4.444444444    0.003926079    0.003926180    0.000068081
    4.459459459    0.004133637    0.004133726    0.000068752
