#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.18705160E-05      0.91524957E-06      0.38042019E-06      0.57484620E-06
      0.20000000E-02      0.37572226E-05      0.18382732E-05      0.76407170E-06      0.11548778E-05
      0.30000000E-02      0.56602781E-05      0.27691452E-05      0.11509855E-05      0.17401474E-05
      0.40000000E-02      0.75798425E-05      0.37079411E-05      0.15411928E-05      0.23307086E-05
      0.50000000E-02      0.95160774E-05      0.46547368E-05      0.19347254E-05      0.29266152E-05
      0.60000000E-02      0.11469147E-04      0.56096094E-05      0.23316152E-05      0.35279220E-05
      0.70000000E-02      0.13439216E-04      0.65726369E-05      0.27318946E-05      0.41346844E-05
      0.80000000E-02      0.15426453E-04      0.75438980E-05      0.31355964E-05      0.47469583E-05
      0.90000000E-02      0.17431026E-04      0.85234724E-05      0.35427537E-05      0.53648004E-05
      0.10000000E-01      0.19453109E-04      0.95114407E-05      0.39533999E-05      0.59882682E-05
      0.11000000E-01      0.21492873E-04      0.10507884E-04      0.43675691E-05      0.66174197E-05
      0.12000000E-01      0.23550495E-04      0.11512886E-04      0.47852954E-05      0.72523137E-05
      0.13000000E-01      0.25626153E-04      0.12526529E-04      0.52066136E-05      0.78930098E-05
      0.14000000E-01      0.27720025E-04      0.13548898E-04      0.56315587E-05      0.85395682E-05
      0.15000000E-01      0.29832294E-04      0.14580078E-04      0.60601662E-05      0.91920500E-05
      0.16000000E-01      0.31963145E-04      0.15620156E-04      0.64924722E-05      0.98505170E-05
      0.17000000E-01      0.34112763E-04      0.16669218E-04      0.69285127E-05      0.10515032E-04
      0.18000000E-01      0.36281336E-04      0.17727354E-04      0.73683247E-05      0.11185657E-04
      0.19000000E-01      0.38469056E-04      0.18794653E-04      0.78119453E-05      0.11862458E-04
      0.20000000E-01      0.40676116E-04      0.19871205E-04      0.82594121E-05      0.12545498E-04
      0.21000000E-01      0.42902710E-04      0.20957102E-04      0.87107632E-05      0.13234845E-04
      0.22000000E-01      0.45149037E-04      0.22052436E-04      0.91660371E-05      0.13930564E-04
      0.23000000E-01      0.47415297E-04      0.23157302E-04      0.96252728E-05      0.14632722E-04
      0.24000000E-01      0.49701691E-04      0.24271794E-04      0.10088510E-04      0.15341388E-04
      0.25000000E-01      0.52008426E-04      0.25396008E-04      0.10555787E-04      0.16056631E-04
      0.26000000E-01      0.54335709E-04      0.26530041E-04      0.11027147E-04      0.16778521E-04
      0.27000000E-01      0.56683749E-04      0.27673991E-04      0.11502628E-04      0.17507129E-04
      0.28000000E-01      0.59052759E-04      0.28827958E-04      0.11982274E-04      0.18242527E-04
      0.29000000E-01      0.61442954E-04      0.29992043E-04      0.12466124E-04      0.18984786E-04
      0.30000000E-01      0.63854552E-04      0.31166348E-04      0.12954223E-04      0.19733982E-04
      0.31000000E-01      0.66287774E-04      0.32350974E-04      0.13446612E-04      0.20490188E-04
